"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of adult PD patients with Kt/V>=1.7","Percentage of adult HD patients with Kt/V>=1.2","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)","Fistula Rate - Better than expected (State)","Fistula Rate - As expected (State)","Fistula Rate - Worse than expected (State)","Percentage of Adult patients with long term catheter in use","Percentage of pediatric HD patients with nPCR in use","Infection - Better than expected (State)","Infection - As expected (State)","Infection - Worse than expected (State)"
"AK","15","0","0","8","0","","11","94","97","2","10","25","27","23","15","1","8","0","0","8","0","2","6","0","1","8","0","14","","2","7","0"
"AL","16","0","0","130","18","94","82","92","96","1","9","23","29","23","15","2","157","2","7","143","8","4","138","13","2","143","16","8","","14","126","8"
"AR","19","0","0","54","8","100","93","92","96","4","8","22","30","22","18","0","62","2","1","61","2","1","51","12","1","61","5","15","","5","51","7"
"AS","3","56","0","1","0","","","","96","10","6","23","32","28","11","1","0","0","0","1","0","0","1","0","0","1","0","18","","0","0","0"
"AZ","15","0","0","108","1","95","85","95","97","2","9","25","30","22","15","0","114","1","1","112","1","9","90","14","8","107","1","12","","19","86","7"
"CA","15","0","0","555","36","89","59","90","96","2","8","25","32","21","14","13","563","42","12","590","15","45","492","72","52","540","6","13","","98","432","13"
"CO","22","0","0","63","0","100","42","91","97","2","8","26","32","22","12","2","72","0","3","70","0","3","70","0","9","65","0","10","","0","61","8"
"CT","15","0","0","45","2","100","21","95","97","1","10","27","32","21","11","1","46","0","0","47","0","11","36","0","5","42","0","10","","3","40","4"
"DC","21","0","0","19","0","83","","90","97","3","11","26","30","21","12","1","17","1","0","18","1","7","12","0","0","18","1","11","","2","15","2"
"DE","16","0","0","21","0","97","83","92","97","2","10","25","29","23","13","1","23","0","0","25","0","3","20","0","0","26","0","11","","5","17","1"
"FL","21","0","0","234","14","97","58","92","96","2","8","26","32","20","13","0","240","41","8","256","24","10","228","31","5","271","10","14","","17","196","19"
"GA","20","0","0","214","13","99","84","92","95","3","9","25","31","21","14","0","244","4","5","222","16","3","215","23","2","234","15","12","","23","179","11"
"GU","15","0","0","4","0","","94","92","94","4","7","18","25","29","20","2","2","0","0","4","0","0","2","2","0","5","0","11","","0","3","1"
"HI","8","0","1","24","0","100","30","93","98","2","8","25","29","24","14","2","24","0","1","25","0","2","24","0","0","31","0","9","","6","21","1"
"IA","17","0","0","47","3","100","83","94","98","2","8","25","32","22","13","1","63","0","1","55","3","4","54","4","2","64","0","13","","7","50","3"
"ID","15","0","0","24","0","100","90","96","98","1","9","28","30","20","13","2","24","0","2","22","0","0","24","2","4","23","0","10","","3","21","0"
"IL","21","0","0","236","7","93","60","84","97","2","9","26","31","22","13","0","271","6","1","266","6","58","205","9","8","253","10","14","","36","187","11"
"IN","20","0","0","139","3","100","89","93","97","2","9","26","30","21","13","3","147","1","5","140","4","17","132","1","0","151","7","13","","22","118","5"
"KS","18","0","0","46","2","100","100","94","97","2","8","25","33","20","14","1","50","1","3","42","4","4","45","3","4","51","0","12","","3","45","1"
"KY","21","0","0","103","7","96","53","94","96","2","8","24","30","23","15","0","112","3","3","105","6","7","100","6","1","115","1","10","","9","100","0"
"LA","16","0","0","131","17","92","87","93","97","1","8","25","29","23","15","1","159","0","1","152","6","3","136","17","1","164","0","10","","12","133","8"
"MA","19","0","0","68","4","100","98","89","97","2","8","26","31","23","13","0","78","1","0","76","1","24","54","0","4","74","0","14","","15","56","3"
"MD","25","0","0","123","13","82","0","91","96","3","10","25","32","20","13","0","152","1","2","147","4","25","108","11","1","147","8","15","","11","123","3"
"ME","15","0","0","16","0","100","87","94","97","2","7","24","31","24","13","1","16","0","0","16","1","2","15","0","2","15","0","11","","3","14","0"
"MI","20","0","0","172","13","97","88","93","97","2","8","26","32","21","12","0","191","11","7","183","7","23","168","3","1","179","8","12","","26","139","17"
"MN","19","0","0","100","0","100","79","92","97","3","8","26","31","21","14","0","113","2","2","105","2","7","104","1","3","112","0","12","","5","91","11"
"MO","19","0","0","132","4","94","89","93","97","2","8","25","30","23","14","1","152","3","2","148","4","14","128","9","5","148","1","11","","14","123","10"
"MP","16","0","0","2","0","","","83","92","1","6","20","26","28","20","0","2","0","0","2","0","0","2","0","0","1","1","13","","0","1","1"
"MS","26","0","0","66","17","78","76","94","97","1","10","25","29","23","14","7","77","1","2","81","3","2","75","8","7","77","0","10","","7","62","9"
"MT","13","1","0","12","1","","100","92","96","2","7","22","27","27","17","1","13","0","3","10","0","0","13","1","3","11","0","14","","4","9","0"
"NC","18","0","0","190","6","95","69","94","97","1","9","24","30","23","14","3","197","2","0","201","0","8","182","10","12","192","6","12","","30","159","7"
"ND","34","0","0","13","0","","40","84","96","2","10","28","28","22","11","0","16","0","0","15","0","0","16","0","3","12","0","12","","1","10","3"
"NE","16","0","0","31","2","83","37","92","96","2","9","27","33","19","12","0","37","0","0","33","0","2","35","0","2","36","0","11","","2","29","1"
"NH","15","0","0","15","1","100","","92","97","2","7","23","30","24","15","0","18","0","0","17","1","3","15","0","0","18","0","17","","3","14","1"
"NJ","15","0","0","150","5","100","35","92","98","2","10","28","32","20","10","0","162","1","0","161","2","43","112","2","25","143","4","11","","25","130","1"
"NM","13","1","0","44","1","97","7","91","97","2","9","25","29","23","15","1","49","0","4","45","0","6","39","2","4","45","0","15","","3","38","1"
"NV","18","0","0","43","1","77","46","94","97","3","8","24","32","21","14","0","45","2","0","42","4","1","44","0","1","46","0","14","","15","27","1"
"NY","21","0","0","218","30","94","74","85","95","3","10","26","30","23","12","1","251","17","2","258","8","42","204","22","40","236","7","16","","44","183","12"
"OH","19","0","1","250","6","97","83","91","97","2","8","25","31","23","14","1","270","25","3","279","17","21","261","11","1","283","14","15","","26","213","29"
"OK","17","0","0","76","2","95","74","93","97","2","7","24","30","22","16","1","76","2","3","76","1","2","67","9","2","77","0","15","","10","61","3"
"OR","11","0","0","55","3","100","70","96","97","2","7","24","32","24","13","0","62","2","2","62","0","1","57","6","1","64","0","10","","8","51","2"
"PA","18","0","1","233","22","93","75","91","97","2","9","27","31","20","12","1","253","30","1","276","10","34","232","10","8","277","6","14","","30","220","18"
"PR","11","0","0","0","0","99","74","91","95","1","9","26","31","24","10","0","0","0","0","0","0","0","0","0","0","0","0","24","","0","0","0"
"RI","28","0","0","14","1","100","","86","99","1","7","23","28","27","16","0","15","0","0","15","0","1","14","0","2","14","0","9","","1","14","0"
"SC","19","0","0","70","13","96","44","91","96","2","9","25","29","23","14","0","89","0","2","84","4","2","77","9","0","85","5","9","","13","65","6"
"SD","24","0","0","16","0","100","76","82","95","3","8","26","32","21","12","3","21","0","0","22","0","3","19","1","1","24","1","19","","3","15","2"
"TN","18","0","0","155","14","73","62","93","96","2","8","23","30","23","16","0","172","4","1","172","5","3","156","15","4","172","5","13","","26","125","11"
"TX","17","0","2","455","28","91","74","90","96","2","8","24","31","22","15","2","501","22","20","499","10","19","434","46","14","517","26","14","","84","376","29"
"UT","21","1","0","33","1","98","91","93","98","2","7","23","29","25","16","1","38","0","3","34","0","1","32","6","7","34","0","12","","3","29","5"
"VA","17","1","0","149","14","95","68","95","97","2","8","25","31","21","14","1","174","2","5","168","4","12","146","9","3","173","6","13","","27","130","5"
"VI","51","0","0","0","0","","","","92","12","11","28","27","25","10","0","0","0","0","0","0","0","0","0","0","0","0","46","","0","0","0"
"VT","24","0","0","7","0","100","","58","98","4","6","24","29","27","14","1","7","0","1","7","0","0","7","1","0","8","0","19","","0","6","2"
"WA","14","0","0","84","2","99","85","92","97","2","7","23","29","24","17","0","90","0","4","85","0","5","83","2","10","83","0","12","","10","72","2"
"WI","17","0","1","100","3","94","49","91","96","2","9","26","31","22","12","1","120","0","1","116","0","19","97","3","2","117","1","15","","8","100","9"
"WV","20","0","0","27","9","","100","96","96","1","9","25","29","23","14","0","40","1","0","40","2","0","39","2","0","45","1","18","","9","27","3"
"WY","10","0","0","8","0","","","96","97","2","8","24","24","27","17","0","10","0","1","7","0","2","6","1","0","10","0","12","","1","5","1"
