"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of patients with arteriovenous fistulae in use","Percentage of patients with vascular catheter in use for 90 days or longer","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival - Better than expected (State)","Survival - As expected (State)","Survival - Worse than expected (State)"
"AK","11","0","1","7","0","97","93","","79","74","12","1","10","25","25","23","17","2","6","0","0","8","0","1","7","0"
"AL","16","0","0","139","8","96","93","100","75","60","8","1","9","25","29","23","14","4","149","2","4","146","3","8","134","11"
"AR","17","0","0","53","8","96","92","100","87","64","13","1","8","23","30","23","16","5","60","1","0","63","1","1","53","12"
"AS","6","67","1","0","0","93","","100","","84","0","9","7","20","29","30","14","1","0","0","0","1","0","0","1","0"
"AZ","13","0","0","105","2","96","94","96","82","76","9","0","9","26","30","22","14","1","105","7","3","109","0","10","92","10"
"CA","13","0","7","542","23","96","88","92","48","70","10","1","9","26","32","20","13","11","549","38","23","566","8","58","503","41"
"CO","21","0","0","63","0","97","88","97","37","75","9","1","9","27","31","21","11","1","73","0","6","65","0","8","65","2"
"CT","15","0","0","42","1","97","94","90","29","69","9","1","9","27","32","21","11","0","46","0","1","45","1","6","38","1"
"DC","22","0","0","17","2","96","92","99","84","67","8","1","12","27","29","21","12","0","19","0","0","16","4","8","12","1"
"DE","17","0","0","21","0","97","93","90","38","64","8","0","10","26","30","22","12","0","23","0","1","22","0","1","20","1"
"FL","20","0","0","196","41","95","91","97","61","64","12","1","9","27","32","20","12","1","224","42","1","249","21","9","208","39"
"GA","18","0","0","210","13","95","90","98","69","64","9","1","10","26","30","21","13","1","237","4","3","225","9","4","215","15"
"GU","12","0","0","4","0","93","65","","64","72","10","1","6","17","23","30","23","3","1","0","0","4","0","0","2","2"
"HI","9","0","0","21","2","97","90","96","50","69","7","0","9","26","29","24","13","2","22","1","1","23","0","3","22","0"
"IA","16","0","0","44","3","97","93","97","80","70","12","0","8","26","32","21","13","0","61","1","1","52","0","2","57","3"
"ID","18","0","0","22","0","98","95","100","54","71","10","1","9","29","31","19","11","0","27","0","2","22","0","1","24","3"
"IL","19","0","0","229","10","97","87","92","43","64","13","1","9","26","30","22","12","0","257","8","1","251","10","43","211","11"
"IN","18","0","0","134","3","96","92","97","93","64","13","1","10","27","30","21","12","3","139","7","2","142","5","10","133","3"
"KS","17","0","0","45","1","97","94","100","","73","7","1","9","26","32","20","14","0","51","0","0","47","3","1","49","1"
"KY","18","0","0","95","13","96","93","87","61","65","10","1","8","26","30","22","14","0","108","4","2","108","3","7","99","5"
"LA","16","0","0","136","11","96","93","91","89","62","10","1","9","25","29","23","14","2","151","3","1","152","5","1","140","14"
"MA","19","0","0","61","5","97","87","91","92","69","12","1","8","26","31","22","12","0","72","2","0","72","5","19","52","1"
"MD","23","0","0","117","8","95","88","95","","62","12","1","10","26","32","19","12","0","138","1","2","138","1","6","110","18"
"ME","16","0","0","17","0","97","93","100","100","71","12","1","7","25","31","23","12","0","17","0","3","14","0","3","14","0"
"MI","19","0","0","174","7","96","92","96","90","63","11","1","9","27","32","21","12","0","171","24","3","189","4","10","182","3"
"MN","18","0","0","94","2","96","93","97","16","70","12","1","9","27","31","20","13","0","107","2","4","98","2","4","104","2"
"MO","18","0","0","131","3","96","92","90","86","64","10","1","8","25","30","23","14","0","148","5","3","150","0","6","138","5"
"MP","22","0","0","2","0","90","52","","","49","12","1","6","20","25","30","19","0","2","0","0","2","0","0","1","1"
"MS","25","0","1","66","11","97","92","100","83","70","9","1","10","26","29","23","13","7","74","0","2","77","3","8","65","8"
"MT","10","1","0","12","0","96","86","","100","70","13","1","8","23","29","26","15","0","12","0","1","11","0","1","11","0"
"NC","18","0","0","130","11","96","94","96","74","66","10","1","9","25","30","22","13","2","147","0","5","142","1","5","128","11"
"ND","30","0","0","13","0","96","86","100","","79","9","1","10","27","28","23","11","0","15","0","0","15","0","1","15","0"
"NE","14","0","0","32","1","95","83","100","42","63","12","1","9","28","32","19","11","0","36","0","2","33","0","0","37","0"
"NH","16","0","0","15","2","97","92","60","100","71","15","1","8","25","29","25","14","0","18","0","1","16","1","1","17","0"
"NJ","14","0","0","150","3","97","90","100","19","67","11","1","11","28","31","20","10","0","158","1","1","156","3","27","122","8"
"NM","12","0","0","37","3","96","88","100","47","76","10","1","8","25","28","24","15","2","43","0","2","42","0","7","30","4"
"NV","15","0","0","42","1","96","93","90","4","68","10","1","8","25","33","21","13","0","45","1","1","42","0","2","41","1"
"NY","19","0","1","218","19","95","83","93","74","71","12","1","10","26","30","23","11","0","230","25","2","244","12","53","180","27"
"OH","19","0","0","217","20","96","91","92","88","63","12","1","8","26","31","22","13","1","255","24","4","280","3","30","239","13"
"OK","15","0","0","70","4","96","92","100","66","73","12","1","8","24","30","22","16","1","77","0","3","73","1","8","65","4"
"OR","11","0","0","55","2","97","94","97","73","70","8","1","7","25","31","23","13","1","60","1","3","60","0","6","58","0"
"PA","17","0","0","223","28","97","89","88","70","66","12","1","10","28","31","20","11","1","249","28","0","271","10","29","235","10"
"PR","11","0","0","0","0","97","91","82","89","57","20","0","9","26","31","25","9","0","0","0","0","0","0","0","0","0"
"RI","29","0","0","10","5","99","92","95","","77","9","1","7","23","29","26","14","0","15","0","0","15","0","2","13","0"
"SC","19","0","0","74","5","96","90","97","54","60","10","1","10","25","29","22","14","1","79","4","0","83","2","3","70","8"
"SD","24","0","0","16","1","94","81","100","25","69","13","1","8","26","31","22","13","1","21","0","1","18","0","4","16","1"
"TN","17","0","0","150","14","96","91","62","46","67","12","1","8","25","30","22","15","0","165","9","2","169","3","8","152","12"
"TX","15","0","2","429","40","96","89","95","79","66","10","1","8","25","31","21","14","4","469","28","15","483","5","18","421","56"
"UT","20","0","0","32","1","97","92","100","66","79","8","1","7","23","28","26","15","0","36","0","2","32","0","1","32","3"
"VA","18","0","1","147","7","96","93","85","75","66","12","0","9","26","31","21","13","0","164","1","3","158","3","9","132","16"
"VI","42","0","0","0","0","92","","","","59","9","1","13","28","27","24","9","0","1","0","0","0","0","0","0","0"
"VT","23","0","0","6","0","97","56","89","","66","17","1","4","22","31","29","14","0","7","0","0","7","0","1","6","1"
"WA","13","0","0","77","0","96","90","99","79","74","10","1","8","24","29","23","16","1","81","0","4","74","1","4","74","2"
"WI","16","1","0","101","3","96","93","87","22","69","13","1","9","27","31","21","12","0","116","1","3","106","2","14","97","5"
"WV","17","0","1","23","8","96","94","33","0","62","18","1","10","26","28","23","13","0","34","2","1","36","0","1","29","5"
"WY","11","0","0","8","0","97","91","","","68","10","1","8","23","27","27","16","0","9","0","1","5","0","1","8","0"
