"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of adult PD patients with Kt/V>=1.7","Percentage of adult HD patients with Kt/V>=1.2","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)","Fistula Rate - Better than expected (State)","Fistula Rate - As expected (State)","Fistula Rate - Worse than expected (State)","Percentage of Adult patients with long term catheter in use","Percentage of pediatric HD patients with nPCR in use","Infection - Better than expected (State)","Infection - As expected (State)","Infection - Worse than expected (State)","Incident Patients Transplant waitlisting- Better than expected (State)","Incident Patients Transplant waitlisting - As expected (State)","Incident Patients Transplant waitlisting - Worse than expected (State)","Prevalent Patients Transplant Waitlisting- Better than expected (State)","Prevalent Patients Transplant Waitlisting - As expected (State)","Prevalent Patients Transplant Waitlisting - Worse than expected (State)"
"IA","17","0","0","49","1","100","82","93","98","1","7","25","32","22","13","3","62","0","1","61","0","4","59","3","4","63","0","12","98","4","55","3","4","16","0","0","60","4"
"ID","18","0","0","22","1","100","66","95","98","2","8","27","31","21","14","1","26","0","3","20","1","0","25","2","2","24","0","11","98","2","22","1","0","13","0","0","25","1"
"IL","22","0","0","253","10","93","50","86","97","2","9","25","31","22","13","1","292","4","2","284","11","53","224","10","5","256","17","15","92","44","192","6","10","144","9","12","288","7"
"IN","22","0","0","140","5","93","88","93","97","2","9","25","30","22","14","3","160","1","0","159","2","16","140","2","3","159","2","14","94","19","130","2","0","73","1","0","161","7"
"KS","17","0","0","45","1",,,"95","98","1","8","24","33","20","15","0","52","0","2","47","0","3","45","3","4","55","1","8",,"3","44","1","2","29","0","0","58","2"
"KY","20","0","0","104","9","95","46","94","97","1","7","24","30","23","15","0","115","4","1","114","4","6","105","7","0","116","2","11","93","15","93","4","1","56","0","0","116","8"
"LA","19","0","0","145","14","90","78","93","97","1","8","24","30","23","15","3","165","3","0","165","4","2","151","14","1","178","0","10","88","15","142","3","3","91","8","2","180","0"
"MA","21","0","0","66","5","100","83","88","97","2","8","25","31","23","14","0","76","0","0","74","2","24","51","0","4","72","1","12","97","15","56","2","21","28","0","38","42","0"
"MD","25","0","0","136","9","97","36","91","96","3","9","25","32","21","14","3","149","0","1","154","0","26","114","12","1","150","6","14","100","16","120","2","7","82","6","10","142","0"
"ME","16","0","0","14","1","100","57","93","97","2","6","24","31","24","14","2","14","0","0","15","0","1","15","0","2","16","0","13","100","1","15","0","1","7","0","0","18","0"
"MI","23","0","0","172","17","89","91","92","96","2","8","25","32","22","13","1","191","12","1","189","10","27","170","3","2","184","12","12","82","31","142","4","8","101","4","4","201","5"
"MN","19","0","0","96","1","95","100","92","98","2","8","25","31","21","14","0","109","3","3","102","3","6","104","2","1","112","0","12","81","4","90","10","3","27","1","9","98","1"
"MO","20","0","0","138","4","92","93","92","97","2","8","24","30","23","15","0","151","6","4","149","3","9","133","9","3","147","2","11","98","11","131","3","4","71","1","1","155","4"
"MP","19","0","0","2","0",,,"86","92","2","4","19","27","29","21","0","2","0","0","2","0","0","1","1","0","2","0","12","100","0","1","0","0","0","1","0","0","2"
"MS","27","0","0","58","26","91","77","94","97","1","9","25","29","23","14","5","79","2","4","79","2","4","76","6","10","74","0","10","89","12","60","5","0","55","7","0","86","5"
"MT","14","1","0","14","0",,"100","91","97","1","7","22","26","27","18","0","14","0","2","9","1","0","14","0","1","14","0","14",,"4","10","0","0","7","0","0","15","1"
"NC","20","0","0","188","13","99","54","94","97","1","8","24","29","23","15","4","207","0","6","199","5","10","185","11","12","203","7","12","91","29","171","4","4","123","10","2","222","5"
"ND","35","0","0","12","1",,"43","81","96","3","10","27","28","23","12","2","13","0","2","12","0","1","14","0","1","13","0","12",,"0","10","3","3","2","0","1","13","0"
"NE","15","0","0","29","1","75","62","95","96","2","8","26","32","20","13","0","36","1","3","32","0","3","34","0","2","35","1","14","75","3","25","2","4","15","0","0","35","0"
"NH","18","0","0","17","0","100",,"92","98","2","6","23","29","25","17","0","18","0","0","18","0","5","13","0","0","20","0","17","100","3","14","1","3","6","0","2","17","0"
"NJ","17","0","0","158","5","95","29","93","98","2","10","27","33","20","10","4","166","1","2","163","5","49","116","4","23","152","2","11","91","24","136","3","19","75","1","10","166","0"
"NM","15","0","0","47","1","95","26","88","97","1","9","24","29","23","15","4","46","1","1","49","0","7","37","7","6","46","1","12","96","10","36","0","1","29","3","1","53","1"
"NV","20","0","0","46","1","71","48","94","97","2","8","24","31","22","15","0","43","5","1","43","5","4","42","1","1","46","1","14","69","16","29","1","0","32","9","0","43","7"
"NY","22","1","0","217","38","86","78","86","96","3","9","25","30","23","12","3","263","18","4","258","19","51","199","26","42","241","7","14","85","69","170","13","32","151","0","61","224","5"
"OH","20","0","1","255","7","99","84","91","97","2","8","24","31","23","14","0","294","19","3","291","17","17","276","12","6","284","17","14","99","26","237","16","4","127","2","3","296","22"
"OK","19","0","1","77","3","90","74","95","97","2","7","23","29","23","18","1","81","0","1","80","0","3","69","8","3","78","0","14","93","11","62","4","0","55","3","0","78","6"
"OR","14","0","0","60","1","89","87","96","97","1","7","25","32","23","13","3","64","0","4","62","0","2","60","4","2","63","1","10","87","12","51","0","1","39","1","1","64","6"
"PA","19","0","0","234","20","91","85","91","97","1","9","26","31","21","12","0","270","20","1","283","9","25","250","9","10","283","3","13","90","30","230","13","18","112","1","33","263","0"
"PR","9","0","0","16","25","85","75","93","98","1","9","27","32","23","9","0","32","11","0","40","4","0","10","36","1","28","18","25","89","16","25","1","0","30","8","0","42","7"
"RI","28","0","0","13","2",,,"88","98","0","6","21","29","27","16","0","16","0","0","16","0","2","13","0","2","14","0","10",,"2","14","0","4","6","0","4","12","0"
"SC","21","0","0","133","7","91","49","91","96","1","9","24","29","22","15","1","143","3","9","138","2","5","129","11","1","134","10","9","100","31","101","4","1","87","8","3","150","1"
"SD","21","0","0","17","2","100","50","87","96","3","8","28","32","21","12","2","25","0","1","21","1","3","23","0","1","24","1","19","100","0","18","3","1","5","0","2","23","1"
"TN","19","0","0","154","20","56","76","92","96","2","7","23","30","23","17","1","177","6","2","183","2","4","160","19","4","177","4","14","45","30","137","4","6","89","7","4","185","2"
"TX","17","0","1","553","35","94","66","91","97","2","8","24","31","22","16","3","609","20","6","612","15","16","531","57","17","633","28","12","93","112","457","22","18","433","27","20","671","17"
"UT","18","1","0","35","0","92","93","93","98","2","7","23","29","25","16","0","41","0","3","36","0","1","37","3","1","41","0","10","93","4","30","2","0","20","0","0","44","1"
"VA","19","1","0","157","17","98","42","94","97","2","8","25","31","22","14","1","186","1","7","176","4","7","167","8","7","177","7","14","93","23","148","3","8","102","2","5","189","2"
"VI","40","2","0","3","0",,,,"91","26","10","27","27","24","12","1","2","0","0","2","0","1","3","0","0","3","1","15",,"0","2","0","0","0","0","0","4","0"
"VT","26","0","0","7","0",,,"62","98","5","4","24","31","27","15","0","7","0","0","8","0","0","7","1","0","8","0","18",,"0","7","0","0","1","0","0","8","0"
"WA","16","0","0","85","1","94","86","92","97","1","7","22","29","25","18","1","89","0","1","89","0","8","78","4","9","84","1","12","92","10","73","3","2","53","2","2","92","2"
"WI","17","0","0","105","4","90","78","90","97","2","9","26","30","22","13","2","118","0","3","111","3","10","106","3","8","112","1","14","99","10","98","6","5","44","1","1","119","3"
"WV","22","0","0","25","14",,"61","96","97","1","8","24","30","23","15","0","41","1","2","40","2","0","39","1","0","44","1","17","100","8","30","1","0","18","2","0","45","1"
"WY","14","0","0","9","0",,,"90","97","2","7","22","25","27","18","1","9","0","0","10","0","1","8","1","0","10","0","13",,"2","6","1","1","2","0","0","10","0"
