"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of adult PD patients with Kt/V>=1.7","Percentage of adult HD patients with Kt/V>=1.2","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)","Fistula Rate - Better than expected (State)","Fistula Rate - As expected (State)","Fistula Rate - Worse than expected (State)","Percentage of Adult patients with long term catheter in use","Percentage of pediatric HD patients with nPCR in use","Infection - Better than expected (State)","Infection - As expected (State)","Infection - Worse than expected (State)","Incident Patients Transplant waitlisting- Better than expected (State)","Incident Patients Transplant waitlisting - As expected (State)","Incident Patients Transplant waitlisting - Worse than expected (State)","Prevalent Patients Transplant Waitlisting- Better than expected (State)","Prevalent Patients Transplant Waitlisting - As expected (State)","Prevalent Patients Transplant Waitlisting - Worse than expected (State)"
"AK","16","0","0","9","0","100","14","92","97","2","10","24","28","23","15","2","7","0","0","9","0","2","7","0","0","9","0","12","100","2","7","0","1","3","0","0","9","0"
"AL","18","0","0","145","15","99","80","94","97","1","8","23","29","23","16","1","169","6","4","164","4","1","148","22","5","149","16","8","99","21","135","4","2","95","2","3","171","3"
"AR","20","0","0","56","7","82","87","93","97","3","7","22","30","23","18","2","64","0","1","62","0","2","52","11","1","64","3","16","87","9","48","4","0","41","5","0","57","11"
"AS","21","1","0","1","0",,,,"95","7","9","24","32","25","10","0","1","0","0","1","0","0","1","0","0","1","0","19",,"0","0","1","0","0","1","0","0","1"
"AZ","16","0","0","109","2","94","93","95","97","2","8","24","30","22","15","1","113","3","5","111","1","8","94","13","9","108","0","12","98","27","84","2","6","74","4","4","116","1"
"CA","15","0","1","571","36","86","62","89","97","2","8","25","32","21","14","11","592","39","5","617","16","41","502","83","40","567","6","12","93","125","427","11","73","384","29","180","492","1"
"CO","21","0","0","61","0","98","40","92","98","1","8","26","32","22","12","4","70","1","4","70","0","7","65","1","10","66","0","10","100","8","61","1","13","30","0","12","67","0"
"CT","18","0","0","44","2","100","0","95","98","1","9","26","32","21","12","0","47","0","0","48","0","12","34","0","2","45","2","11","100","3","40","2","8","17","0","7","43","0"
"DC","25","0","0","18","1","92","89","92","97","2","10","25","29","23","14","1","18","0","0","17","2","8","11","0","0","19","1","9","63","3","15","1","1","14","1","3","16","1"
"DE","19","0","0","24","0","89","75","92","97","2","9","25","29","23","14","0","27","0","0","25","1","2","22","1","0","27","1","10","96","5","18","1","2","15","0","1","29","0"
"FL","22","0","0","384","22","92","70","92","97","2","8","25","33","21","14","0","395","49","4","404","37","13","381","43","8","436","12","14","90","52","325","13","8","258","23","4","457","15"
"GA","21","0","0","292","23","99","73","93","96","2","9","24","31","22","15","0","334","17","2","330","13","11","298","26","1","322","19","11","94","44","253","10","4","189","4","17","341","3"
"GU","22","0","0","5","0",,"57","92","93","4","9","21","28","27","15","0","5","0","0","5","0","0","2","2","0","5","0","14",,"1","3","1","0","0","4","0","1","4"
"HI","11","0","0","27","0","100","45","93","98","1","8","25","28","24","14","2","27","0","1","28","0","2","25","1","0","30","1","10","100","11","19","1","0","18","4","0","30","1"
