"STATE","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the State with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the State with patient transfusions categorized as ""As expected""","Lists the number of facilities in the State with patient transfusions categorized as ""Worse than expected""","Percent of HD patients with URR>=65%","Percentage of Adult HD patients with Kt/V >=1.2","Percentage of Adult PD PTS with Kt/V >=1.7","Percentage of Pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of Adult patients with Hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"MT","7","1","0","10","0","98","88","59","","68","18","3","8","23","25","26","17","0","11","0","4","7","0"
"NC","11","0","2","161","9","99","89","85","77","61","10","3","11","28","32","19","10","2","178","0","9","151","19"
"ND","13","1","0","12","1","99","86","58","","71","12","2","10","28","27","21","14","0","15","1","2","14","0"
"NE","10","0","0","27","0","97","89","56","67","62","15","2","9","30","34","18","9","0","33","0","2","30","1"
"NH","15","0","0","12","0","98","88","86","","72","13","4","8","26","28","24","13","0","12","0","1","11","0"
"NJ","10","0","2","112","3","99","88","80","100","64","13","3","12","29","30","19","9","1","120","2","11","99","13"
"NM","8","1","3","30","3","99","90","86","100","72","9","2","10","26","28","23","13","2","34","1","6","22","7"
"NV","11","1","0","36","1","99","84","85","10","66","9","1","12","32","35","14","8","0","39","0","2","33","4"
"NY","15","1","1","194","16","98","89","72","84","65","13","2","11","28","29","22","10","1","211","18","35","169","26"
"OH","13","0","0","199","21","99","88","83","91","59","13","3","10","28","31","20","11","0","221","23","18","208","16"
"OK","12","0","0","62","6","98","90","78","77","70","13","1","9","27","31","20","13","0","68","1","7","55","7"
"OR","8","0","0","43","3","97","85","85","0","71","9","3","9","28","32","20","11","0","46","3","4","42","4"
"PA","11","0","0","197","27","99","90","78","90","62","12","2","12","30","31","18","9","0","212","33","18","201","26"
"PR","7","0","0","31","3","96","87","68","0","55","18","6","11","28","28","24","9","1","32","3","0","9","27"
"RI","12","0","0","14","0","99","92","82","","69","13","3","8","24","29","25","14","0","14","0","2","12","0"
"SC","13","0","1","109","4","99","88","75","88","54","8","3","11","26","30","21","12","1","111","2","5","91","18"
"SD","21","1","0","13","0","100","85","80","83","71","9","1","9","30","31","20","10","2","16","0","5","13","0"
"TN","11","0","0","146","12","98","89","83","87","62","13","2","9","27","31","20","13","0","156","5","11","140","9"
"TX","10","0","3","438","31","99","91","84","81","62","9","2","10","28","32","19","11","8","474","8","26","408","51"
"UT","23","0","0","30","0","99","89","79","56","72","9","3","9","26","29","23","13","0","36","0","1","33","2"
"VA","14","0","1","124","7","99","88","74","87","61","12","2","10","29","32","18","10","0","134","2","2","113","20"
"VI","13","2","0","3","0","98","77","","100","61","5","2","17","30","23","22","8","1","2","0","0","3","0"
"VT","27","0","0","5","1","99","92","40","","64","16","1","6","25","30","24","14","0","8","0","1","6","1"
"WA","11","0","0","65","0","98","90","87","85","72","9","3","10","27","30","21","13","1","72","0","6","65","1"
"WI","19","0","0","92","8","99","86","78","91","67","14","2","11","31","33","17","9","2","104","2","15","88","6"
"WV","11","0","0","22","7","97","82","65","8","62","14","2","11","27","28","22","12","0","26","6","1","24","7"
"WY","11","0","0","4","1","100","86","75","","67","10","5","12","23","26","26","13","0","7","0","0","7","1"
