"STATE","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the State with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the State with patient transfusions categorized as ""As expected""","Lists the number of facilities in the State with patient transfusions categorized as ""Worse than expected""","Percent of HD patients with URR>=65%","Percentage of Adult HD patients with Kt/V >=1.2","Percentage of Adult PD PTS with Kt/V >=1.7","Percentage of Pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of Adult patients with Hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"AK","12","0","0","7","0","98","85","77","96","68","13","2","11","25","26","22","15","2","5","0","0","7","0"
"AL","10","0","0","122","3","98","90","80","78","57","7","3","10","28","32","19","11","4","132","0","4","112","14"
"AR","18","0","0","39","12","99","91","82","100","57","15","2","10","25","30","20","14","1","59","1","0","55","6"
"AS","","","1","0","0","100","69","","","70","4","8","8","10","36","31","15","1","0","0","0","0","1"
"AZ","8","0","1","104","1","99","87","83","83","70","10","2","10","29","32","19","10","3","91","16","10","91","7"
"CA","10","0","5","475","16","99","90","78","88","64","11","2","11","30","33","17","9","10","480","34","52","425","47"
"CO","13","0","1","54","0","99","88","82","86","74","8","1","12","32","31","17","8","0","64","0","13","47","1"
"CT","12","1","1","39","1","99","92","85","90","65","10","1","12","31","32","17","8","0","43","0","6","36","1"
"DC","13","0","1","17","0","99","91","88","84","58","9","2","14","30","31","17","8","0","19","0","2","17","1"
"DE","9","0","0","20","0","98","83","81","5","62","10","2","11","28","27","23","11","0","21","0","3","17","2"
"FL","11","0","0","264","57","99","88","81","72","61","11","2","11","29","34","17","10","1","303","39","9","283","47"
"GA","13","0","0","253","16","98","87","77","79","59","8","2","12","29","31","18","10","2","272","5","13","236","24"
"GU","16","0","0","4","0","98","85","73","","66","8","2","8","21","24","27","20","2","2","0","0","0","4"
"HI","9","0","0","22","0","99","89","84","0","64","9","2","9","25","28","25","13","1","22","0","5","17","1"
"IA","11","0","0","40","7","99","91","82","91","65","13","2","11","30","31","18","10","0","58","0","3","53","2"
"ID","14","0","0","20","0","98","88","86","0","69","10","1","11","31","32","17","9","0","25","0","1","19","2"
"IL","13","0","0","190","14","98","87","81","77","61","13","3","11","29","31","19","10","0","205","13","34","164","19"
"IN","14","0","0","118","6","99","88","80","75","58","14","2","11","29","30","19","11","0","132","3","12","115","9"
"KS","12","0","0","43","0","98","88","78","83","68","9","2","10","30","34","16","10","0","46","0","4","37","4"
"KY","11","0","0","85","10","98","88","79","","64","10","2","10","28","30","20","13","0","93","8","1","88","12"
"LA","9","0","0","127","11","99","87","80","88","59","10","3","10","26","29","22","13","0","150","1","4","123","24"
"MA","13","0","0","59","4","99","90","77","73","64","13","2","10","27","31","21","11","0","66","2","16","51","1"
"MD","14","0","0","113","3","99","90","82","100","57","12","2","11","31","33","16","9","0","110","8","7","92","18"
"ME","16","0","1","13","0","99","86","80","0","70","13","3","10","27","28","24","12","0","14","0","4","10","0"
"MI","13","0","0","160","5","98","87","75","85","59","11","3","10","30","33","18","9","0","158","18","14","147","14"
"MN","18","0","0","77","5","99","89","83","55","65","12","2","10","31","34","18","9","0","92","3","5","89","1"
"MO","13","0","1","108","6","98","87","76","47","61","11","2","10","28","31","20","11","0","126","5","8","103","16"
"MP","19","0","0","2","0","92","85","84","","62","12","4","8","23","24","28","17","1","1","0","0","2","0"
"MS","21","0","1","62","10","99","88","69","71","63","9","5","12","28","28","21","11","9","64","1","4","59","11"
