"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the state with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the state with patient transfusions categorized as ""As expected""","Lists the number of facilities in the state with patient transfusions categorized as ""Worse than expected""","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Number of facilities in the state with patient hospital readmissions categorized as "Better than expected"","Number of facilities in the state with patient hospital readmissions categorized as "As expected"","Number of facilities in the state with patient hospital readmissions categorized as "Worse than expected"","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"AK","11","0","0","8","0","94","83","100","70","11","2","10","26","25","23","16","2","6","0","3","4","0","0","8","0"
"AL","14","0","0","136","5","92","86","96","58","7","2","9","25","29","22","14","5","148","1","5","143","2","9","132","10"
"AR","19","0","0","47","11","94","87","100","60","14","2","9","25","31","21","14","2","59","2","2","58","2","1","52","10"
"AS","","","1","0","0","69","","100","82","0","12","7","23","25","29","16","1","0","0","0","1","0","0","0","1"
"AZ","14","0","0","104","3","93","87","72","73","8","1","9","27","30","21","12","0","103","9","3","107","1","12","89","11"
"CA","12","0","8","513","23","94","85","78","66","10","1","10","28","32","19","11","12","511","46","7","550","16","66","445","52"
"CO","18","0","0","62","2","93","88","93","74","9","1","11","29","31","20","9","1","67","1","2","65","0","16","50","1"
"CT","15","0","1","40","1","96","90","100","66","10","1","10","27","32","21","10","1","42","0","1","40","2","4","39","0"
"DC","20","0","0","18","0","94","91","95","62","9","3","12","28","30","20","11","0","19","0","0","18","3","7","12","1"
"DE","12","0","0","19","1","90","85","0","63","8","2","10","26","29","23","13","0","21","0","1","21","1","3","17","2"
"FL","16","0","0","288","50","93","88","80","62","11","2","9","27","32","20","12","0","317","56","3","337","33","13","290","52"
"GA","15","0","0","274","8","93","87","75","62","8","2","10","26","30","21","13","0","298","2","6","286","6","14","259","17"
"GU","11","0","0","4","0","92","63","","71","8","1","8","20","24","28","20","3","1","0","0","4","0","0","1","3"
"HI","10","0","0","22","1","95","87","89","67","9","2","9","26","28","24","13","0","24","0","0","24","0","7","18","0"
"IA","18","0","0","46","2","95","86","80","66","12","1","9","28","31","20","12","0","62","0","3","50","0","2","60","1"
"ID","12","1","0","20","0","94","89","67","71","9","2","10","29","31","19","11","1","23","0","0","21","1","0","22","2"
"IL","19","0","1","222","6","93","84","76","62","12","2","10","27","30","22","12","0","243","6","1","229","12","19","218","8"
"IN","18","0","0","131","4","92","85","71","61","13","2","10","28","30","21","12","1","144","0","4","134","2","5","132","5"
"KS","13","0","0","44","1","93","88","33","70","7","2","9","27","33","19","13","1","45","2","2","46","0","4","44","0"
"KY","17","0","0","89","11","92","88","97","64","9","2","9","26","30","22","13","0","100","7","5","101","3","6","84","16"
"LA","15","0","0","129","16","92","84","86","60","9","2","9","25","29","23","14","1","149","2","7","137","5","4","127","20"
"MA","19","0","0","61","5","93","82","96","66","12","2","9","26","30","23","12","0","70","0","0","67","3","17","52","2"
"MD","19","0","1","119","4","94","84","","60","11","2","10","28","32","19","11","0","128","3","1","124","8","12","97","18"
"ME","12","0","0","16","1","92","81","0","71","10","3","8","25","29","24","14","1","16","0","1","15","0","7","10","0"
"MI","17","0","0","164","9","93","80","84","61","10","2","9","27","32","21","11","0","160","21","2","169","16","11","162","9"
"MN","16","0","0","91","4","94","85","75","68","11","2","9","29","32","20","11","0","101","5","2","95","4","8","95","0"
"MO","17","0","0","123","2","93","86","65","62","10","2","9","26","30","22","13","0","139","4","2","134","4","5","122","12"
"MP","10","0","0","2","0","90","100","","52","9","5","10","22","24","25","20","0","2","0","0","2","0","0","1","1"
"MS","23","0","0","69","6","91","74","79","66","9","4","10","26","28","23","12","9","68","0","4","69","2","8","57","10"
"MT","10","0","0","12","0","92","80","","73","14","3","8","21","26","26","18","1","11","0","2","9","0","4","8","0"
