"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the state with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the state with patient transfusions categorized as ""As expected""","Lists the number of facilities in the state with patient transfusions categorized as ""Worse than expected""","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Number of facilities in the state with patient hospital readmissions categorized as "Better than expected"","Number of facilities in the state with patient hospital readmissions categorized as "As expected"","Number of facilities in the state with patient hospital readmissions categorized as "Worse than expected"","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"AK","14","1","0","6","0","89","74","100","72","10","2","11","26","25","22","16","0","8","0","2","6","0","1","7","0"
"AL","13","0","0","128","5","91","86","75","58","7","3","10","26","31","21","12","3","138","1","5","134","4","9","119","10"
"AR","19","0","0","42","14","93","86","100","58","14","2","10","26","31","20","13","1","59","2","0","59","3","0","58","4"
"AS","","","1","0","0","70","","","79","0","6","5","21","30","30","14","1","0","0","0","1","0","0","0","1"
"AZ","11","0","1","103","2","92","86","88","72","9","2","10","28","31","20","11","1","98","13","1","108","4","10","94","8"
"CA","11","0","6","481","24","92","81","86","66","10","2","10","29","33","18","10","11","485","40","7","516","21","69","428","41"
"CO","14","0","0","61","1","91","85","83","75","8","1","12","31","31","18","8","2","63","3","4","60","1","17","46","2"
"CT","13","1","2","39","1","95","88","94","65","10","1","11","29","33","19","9","0","41","1","1","39","2","7","34","1"
"DC","17","0","0","17","0","92","89","88","59","9","3","13","29","31","18","9","0","19","0","0","17","4","6","13","2"
"DE","12","0","0","20","0","87","82","13","63","8","3","10","27","28","23","12","0","21","0","1","21","0","1","20","1"
"FL","13","0","0","275","58","92","85","80","62","11","3","10","28","33","18","11","1","320","32","4","320","33","16","277","54"
"GA","14","0","0","269","12","91","83","78","61","8","2","11","27","31","20","12","1","290","2","7","274","8","14","256","17"
"GU","13","0","0","4","0","62","58","50","68","8","1","7","19","24","29","22","3","1","0","0","4","0","0","0","4"
"HI","11","0","0","22","0","93","84","","66","8","2","8","26","28","25","13","1","22","0","2","20","0","7","15","1"
"IA","13","0","0","43","3","94","83","40","66","12","2","11","30","30","19","10","0","61","0","1","53","0","1","58","3"
"ID","12","0","1","20","0","93","85","","72","8","2","10","31","33","18","9","1","23","0","2","18","0","1","20","2"
"IL","16","0","2","198","12","91","82","91","62","13","3","10","28","31","21","11","0","223","11","4","217","13","30","189","14"
"IN","15","0","0","120","4","92","83","88","61","12","2","11","29","30","20","11","0","138","2","7","128","4","8","123","7"
"KS","13","0","0","42","0","91","84","69","69","7","2","9","28","33","19","11","2","45","0","3","45","0","2","40","4"
"KY","14","0","0","85","11","91","83","78","65","8","2","9","27","30","21","13","0","96","6","0","100","4","4","87","12"
"LA","11","0","0","121","18","90","79","90","60","9","2","10","26","29","22","13","0","147","3","4","140","4","4","129","18"
"MA","16","0","0","57","4","92","77","84","65","12","3","9","27","31","22","12","0","65","2","0","66","3","17","49","2"
"MD","16","0","0","116","2","93","83","78","59","11","2","11","29","33","17","10","0","120","6","1","115","12","10","89","22"
"ME","10","0","1","14","0","91","83","0","70","11","3","9","27","29","23","12","0","16","0","0","16","0","6","10","0"
"MI","16","0","0","159","8","91","79","96","61","10","3","10","29","33","19","9","0","160","19","3","160","14","11","156","11"
"MN","16","0","0","83","4","93","87","52","67","11","2","9","29","33","19","10","0","91","5","2","92","2","6","90","2"
"MO","15","0","0","111","6","91","81","47","62","10","2","9","27","31","21","12","0","131","8","3","131","3","7","112","13"
"MP","8","0","0","2","0","89","50","","59","8","8","10","20","25","27","17","0","2","0","0","2","0","0","2","0"
