"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the state with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the state with patient transfusions categorized as ""As expected""","Lists the number of facilities in the state with patient transfusions categorized as ""Worse than expected""","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Number of facilities in the state with patient hospital readmissions categorized as "Better than expected"","Number of facilities in the state with patient hospital readmissions categorized as "As expected"","Number of facilities in the state with patient hospital readmissions categorized as "Worse than expected"","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"MS","21","0","0","66","8","89","75","94","65","8","5","11","27","28","22","11","6","69","1","1","73","2","5","58","11"
"MT","8","1","0","9","0","91","83","","71","16","3","8","23","26","27","17","0","10","0","0","8","0","3","7","0"
"NC","13","0","1","169","7","91","85","78","63","9","3","10","27","31","21","12","1","177","5","5","176","4","6","167","12"
"ND","18","0","0","11","2","90","58","","71","11","3","10","29","28","21","12","1","15","0","2","11","1","0","16","0"
"NE","11","1","0","28","1","93","67","78","63","14","2","10","30","33","19","9","0","34","1","2","29","0","3","31","0"
"NH","14","0","0","13","1","89","92","","72","12","4","8","25","28","25","14","0","14","0","0","15","0","0","14","0"
"NJ","12","0","1","121","4","91","80","88","65","11","3","12","29","30","20","9","0","129","1","0","124","8","11","110","9"
"NM","9","1","3","32","0","89","83","100","74","8","2","10","25","28","24","14","2","34","0","3","30","1","8","22","6"
"NV","14","0","0","39","3","87","88","0","67","9","2","10","30","34","17","9","0","43","1","0","40","3","1","37","3"
"NY","16","1","4","198","12","92","76","81","66","13","3","11","27","29","22","10","1","214","18","2","216","22","42","164","28"
"OH","14","0","0","203","24","92","83","96","60","12","3","9","27","31","21","11","1","220","32","3","247","6","19","216","19"
"OK","13","0","0","62","1","89","83","88","72","11","2","9","26","31","20","13","0","69","0","1","68","1","4","58","4"
"OR","8","0","0","42","1","89","85","0","72","9","3","9","28","32","20","12","0","49","3","2","49","0","4","45","1"
"PA","13","0","0","193","33","93","82","92","64","11","2","11","30","31","19","10","0","218","32","1","245","9","12","210","25"
"PR","6","0","0","31","5","86","74","25","56","18","5","12","28","28","23","9","0","33","5","0","31","6","0","11","28"
"RI","18","0","0","14","0","95","80","","70","12","3","8","24","29","26","13","0","14","0","0","15","0","1","13","0"
"SC","14","0","2","113","3","89","80","93","56","8","4","10","26","30","22","12","1","119","1","3","116","3","4","97","19"
"SD","20","0","0","16","0","90","81","100","72","8","1","8","29","31","21","10","1","18","0","1","16","0","6","14","0"
"TN","13","0","0","142","15","92","85","83","63","12","2","9","26","31","21","13","0","153","7","1","156","4","5","143","11"
"TX","11","0","2","456","24","93","85","88","64","8","2","9","27","32","20","12","5","497","5","19","484","6","30","413","54"
"UT","24","0","0","31","0","94","80","97","73","9","3","9","26","28","23","13","1","35","0","0","33","0","2","33","1"
"VA","16","0","0","129","6","91","82","78","63","12","2","9","28","32","20","11","1","137","2","1","135","4","3","117","16"
"VI","25","1","0","3","0","75","","","63","5","4","15","30","27","22","6","1","2","0","0","3","0","0","3","0"
"VT","21","0","0","7","0","94","58","","67","15","2","5","26","30","24","15","0","8","0","1","7","0","1","6","1"
"WA","14","0","0","68","0","92","89","85","73","9","3","9","26","29","22","13","1","74","1","2","70","1","8","63","4"
"WI","16","0","0","93","8","92","82","93","69","13","1","11","30","32","18","9","1","105","2","3","103","0","14","87","7"
"WV","14","0","0","23","9","85","64","14","63","13","2","11","27","27","22","13","1","26","5","0","32","1","2","27","4"
"WY","13","1","0","6","0","87","63","","69","9","4","11","26","29","23","11","0","9","0","2","6","0","1","8","0"
