"STATE","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the State with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the State with patient transfusions categorized as ""As expected""","Lists the number of facilities in the State with patient transfusions categorized as ""Worse than expected""","Percent of HD patients with URR>=65%","Percentage of Adult HD patients with Kt/V >=1.2","Percentage of Adult PD PTS with Kt/V >=1.7","Percentage of Pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of Adult patients with Hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"AK","11","0","0","7","0","98","81","79","100","66","14","3","12","27","27","22","13","2","5","0","0","7","0"
"AL","10","0","0","122","3","99","89","81","83","56","7","5","10","28","32","20","11","4","132","0","4","112","14"
"AR","15","0","0","39","12","99","89","81","100","56","16","4","10","24","29","21","16","1","59","1","0","55","6"
"AS","7","4","1","0","0","97","66","","","63","14","11","6","17","23","36","17","1","0","0","0","0","1"
"AZ","8","0","1","104","1","99","87","81","84","69","11","2","10","29","31","19","10","3","91","16","10","91","7"
"CA","9","0","5","476","16","98","89","78","84","63","11","3","11","30","33","17","9","10","481","34","52","426","47"
"CO","12","1","1","54","0","99","88","82","73","73","8","2","12","32","31","17","8","0","64","0","13","47","1"
"CT","11","1","1","39","1","99","92","82","88","64","11","2","12","30","32","17","8","0","43","0","6","36","1"
"DC","13","0","1","17","0","99","91","86","62","56","10","4","13","30","30","17","9","0","19","0","2","17","1"
"DE","9","0","0","20","0","97","81","78","0","63","9","4","10","28","28","22","11","0","21","0","3","17","2"
"FL","10","0","0","264","57","99","88","80","74","60","12","4","11","29","33","18","10","1","303","39","9","283","47"
"GA","12","0","0","253","17","98","87","76","78","58","9","4","12","29","31","18","11","2","273","5","13","237","24"
"GU","12","0","0","4","0","98","86","58","","64","9","4","8","21","23","27","21","2","2","0","0","0","4"
"HI","9","0","0","22","0","99","87","83","0","64","8","3","9","26","27","25","13","1","22","0","5","17","1"
"IA","10","0","0","40","7","98","91","82","97","65","13","3","11","30","30","18","11","0","58","0","3","53","2"
"ID","15","0","0","20","0","99","87","85","50","67","9","2","12","31","32","17","9","0","26","0","1","20","2"
"IL","12","0","0","190","14","98","86","81","79","60","14","4","11","29","31","19","10","0","205","13","34","165","19"
"IN","13","0","0","119","6","98","86","80","72","57","14","3","11","29","30","19","11","0","133","3","12","115","10"
"KS","12","0","0","43","0","98","88","76","72","67","10","3","11","30","33","16","10","0","46","0","4","37","4"
"KY","10","1","0","86","10","98","88","78","","64","10","4","9","28","30","20","13","0","94","8","1","89","12"
"LA","8","1","0","127","11","99","88","81","89","58","10","5","10","26","29","22","13","0","150","1","4","123","24"
"MA","11","0","0","60","4","98","90","76","81","63","14","3","10","27","30","22","11","0","67","2","17","51","1"
"MD","14","0","0","113","3","98","90","82","100","56","13","3","11","30","32","17","9","0","111","8","7","93","18"
"ME","14","1","2","15","0","98","85","76","0","68","13","5","10","27","29","23","11","0","17","0","5","12","0"
"MI","12","1","0","160","5","98","88","76","82","58","12","4","10","30","32","18","10","0","158","18","14","147","14"
"MN","17","1","0","77","5","99","89","83","65","64","13","4","9","31","34","17","9","0","92","3","5","89","1"
"MO","12","0","1","108","6","98","85","74","48","60","11","4","10","28","31","20","11","0","126","5","8","103","16"
"MP","14","0","0","2","0","86","78","52","","60","15","2","7","22","23","28","20","1","1","0","0","2","0"
"MS","18","0","1","62","10","99","85","72","80","62","9","7","12","28","28","21","11","9","64","1","4","59","11"
"MT","7","2","0","10","0","97","88","59","100","66","20","4","8","23","26","27","17","0","11","0","4","7","0"
"NC","10","0","2","160","9","98","89","86","73","59","10","5","11","28","31","19","10","2","177","0","9","150","19"
"ND","13","1","0","12","1","99","87","62","","71","12","2","10","27","26","19","19","0","15","1","2","14","0"
"NE","9","0","0","28","0","97","88","60","100","62","15","3","9","30","33","18","9","0","34","0","2","31","1"
"NH","10","0","0","12","0","99","88","88","","72","13","6","9","26","29","24","13","0","12","0","1","11","0"
"NJ","10","1","2","112","4","99","86","76","100","63","14","4","12","29","30","20","9","0","121","3","10","101","13"
"NM","7","1","3","30","3","98","89","86","80","70","10","4","10","26","26","24","14","2","34","1","6","22","7"
"NV","13","1","0","36","1","99","83","80","41","65","10","2","12","33","34","13","8","0","39","0","2","33","4"
"NY","14","1","1","200","16","98","88","70","85","64","14","4","11","28","29","22","11","1","216","19","36","174","26"
"OH","12","0","0","202","21","99","89","82","85","58","13","4","10","27","30","19","14","0","226","23","18","210","19"
"OK","10","0","0","62","6","98","90","80","76","69","14","3","9","27","30","20","13","0","68","1","7","55","7"
"OR","6","1","0","43","3","98","83","85","0","71","9","4","9","28","32","20","11","0","46","3","4","42","4"
"PA","10","0","0","197","27","99","90","76","85","61","12","3","12","30","30","18","9","0","214","33","18","203","26"
"PR","6","1","0","32","3","97","87","68","0","54","19","7","11","28","28","24","9","1","33","3","0","9","28"
