"STATE","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the State with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the State with patient transfusions categorized as ""As expected""","Lists the number of facilities in the State with patient transfusions categorized as ""Worse than expected""","Percent of HD patients with URR>=65%","Percentage of Adult HD patients with Kt/V >=1.2","Percentage of Adult PD PTS with Kt/V >=1.7","Percentage of Pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of Adult patients with Hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"RI","7","0","0","14","0","100","92","81","","69","15","5","8","25","29","24","14","0","14","0","2","12","0"
"SC","12","0","1","109","4","99","89","75","83","52","8","5","10","26","30","21","12","1","111","2","5","91","18"
"SD","19","0","0","13","0","99","82","81","67","72","9","2","9","31","29","20","10","2","16","0","5","13","0"
"TN","10","0","0","147","12","98","89","83","83","61","13","3","9","27","31","21","12","0","157","5","11","140","10"
"TX","9","1","3","438","31","99","91","83","82","61","9","3","10","28","31","20","12","8","474","8","26","408","51"
"UT","21","0","0","30","0","99","89","72","52","71","9","4","9","26","29","23","13","0","36","0","1","33","2"
"VA","14","0","1","125","7","99","87","73","81","60","13","3","10","29","31","19","10","0","135","2","2","114","20"
"VI","3","7","0","3","0","98","82","","100","59","5","2","19","30","23","21","7","1","2","0","0","3","0"
"VT","25","0","0","5","1","98","91","45","","63","16","2","5","25","31","25","14","0","8","0","1","6","1"
"WA","9","1","0","65","0","99","88","85","91","71","9","4","9","27","29","20","15","1","72","0","6","65","1"
"WI","17","1","0","93","8","99","90","80","89","65","15","3","11","31","31","17","10","2","107","2","15","91","6"
"WV","8","0","0","22","7","96","83","62","25","60","15","4","11","28","28","22","11","0","26","6","1","24","7"
"WY","4","1","0","5","1","99","89","75","","64","13","5","12","22","25","26","14","0","8","0","0","8","1"
