"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of adult PD patients with Kt/V>=1.7","Percentage of adult HD patients with Kt/V>=1.2","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)","Fistula Rate - Better than expected (State)","Fistula Rate - As expected (State)","Fistula Rate - Worse than expected (State)","Percentage of Adult patients with long term catheter in use","Percentage of pediatric HD patients with nPCR in use","Infection - Better than expected (State)","Infection - As expected (State)","Infection - Worse than expected (State)","Incident Patients Transplant waitlisting- Better than expected (State)","Incident Patients Transplant waitlisting - As expected (State)","Incident Patients Transplant waitlisting - Worse than expected (State)","Prevalent Patients Transplant Waitlisting- Better than expected (State)","Prevalent Patients Transplant Waitlisting - As expected (State)","Prevalent Patients Transplant Waitlisting - Worse than expected (State)"
"NM","14","0","0","47","1","94","16","90","97","2","9","25","29","23","15","4","46","1","1","49","0","7","37","7","5","45","0","15",,"10","36","0","1","29","3","2","53","0"
"NV","18","0","0","46","1","69","60","94","97","2","8","24","32","21","14","0","43","5","1","43","5","4","42","1","1","46","0","13",,"16","29","1","0","32","9","0","42","8"
"NY","21","1","0","219","38","89","77","85","96","3","10","25","30","23","12","3","265","18","4","260","19","51","200","27","45","234","9","16",,"70","171","13","32","151","0","58","225","4"
"OH","20","0","1","256","7","97","81","91","97","2","8","24","31","23","14","0","295","19","3","292","17","17","277","12","3","284","16","15",,"26","238","16","4","127","2","3","302","16"
"OK","18","0","1","77","3","89","69","94","97","2","7","24","30","22","17","1","81","0","1","80","0","3","69","8","1","80","0","14",,"11","62","4","0","55","3","0","76","8"
"OR","12","0","0","60","1","56","73","96","97","2","7","24","32","24","13","3","64","0","4","62","0","2","60","4","2","62","0","9",,"12","51","0","1","39","1","1","65","3"
"PA","19","0","0","238","20","94","75","91","97","2","9","27","31","21","12","0","273","22","1","285","11","25","255","9","11","279","5","14",,"30","234","13","19","113","1","32","265","0"
"PR","9","0","0","16","25","99","76","94","97","1","9","26","32","24","9","0","32","11","0","40","4","0","10","36","0","28","17","23",,"16","25","1","0","30","8","0","37","8"
"RI","30","0","0","13","2","100",,"88","99","0","7","22","28","27","16","0","16","0","0","16","0","2","13","0","2","14","0","9",,"2","14","0","4","6","0","5","11","0"
"SC","20","0","0","133","7","94","58","92","96","1","9","25","29","22","14","1","144","3","9","138","2","5","129","11","1","132","11","9",,"31","101","4","1","87","8","1","152","0"
"SD","23","0","0","17","2","100","71","83","96","3","8","27","32","21","12","2","25","0","1","21","1","3","23","0","1","25","1","19",,"0","18","3","1","5","0","2","24","0"
"TN","19","0","0","154","20","82","71","92","96","2","8","23","30","23","16","1","177","6","2","183","2","4","160","19","5","171","6","13",,"30","137","4","6","89","7","6","179","3"
"TX","17","0","1","556","35","92","73","90","96","2","8","24","31","22","15","3","613","20","6","616","15","16","535","57","16","599","25","14",,"113","460","22","18","435","27","17","636","22"
"UT","19","1","0","35","0","97","89","93","98","2","7","23","29","25","16","0","41","0","3","36","0","1","37","3","6","35","0","12",,"4","30","2","0","20","0","0","44","1"
"VA","18","1","0","157","17","94","53","95","97","2","8","25","31","22","14","1","186","1","7","176","4","7","167","8","5","176","5","13",,"23","148","3","8","102","2","4","187","1"
"VI","46","0","0","3","0",,,,"92","18","10","27","27","25","11","1","2","0","0","2","0","1","3","0","0","3","0","26",,"0","2","0","0","0","0","0","4","0"
"VT","29","0","0","7","0",,,"61","98","5","6","23","29","28","14","0","7","0","0","8","0","0","7","1","0","8","0","18",,"0","7","0","0","1","0","0","8","0"
"WA","14","0","0","87","1","96","89","92","97","1","7","22","29","24","17","1","91","0","1","91","0","8","80","4","10","83","0","12",,"10","75","3","2","54","3","2","90","2"
"WI","16","0","0","106","4","92","56","91","96","2","9","26","31","22","13","2","119","0","3","112","3","11","106","3","5","113","1","15",,"10","99","6","5","44","1","1","121","1"
"WV","21","0","0","26","14",,"100","96","96","1","9","25","29","23","14","0","43","1","2","42","2","0","41","1","1","44","1","18",,"8","31","1","0","18","2","0","45","2"
"WY","12","1","0","9","0",,,"95","97","1","7","24","24","29","17","1","9","0","0","10","0","1","8","1","0","10","0","11",,"2","6","1","1","2","0","0","10","0"
