"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the state with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the state with patient transfusions categorized as ""As expected""","Lists the number of facilities in the state with patient transfusions categorized as ""Worse than expected""","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Number of facilities in the state with patient hospital readmissions categorized as "Better than expected"","Number of facilities in the state with patient hospital readmissions categorized as "As expected"","Number of facilities in the state with patient hospital readmissions categorized as "Worse than expected"","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"AK","16","0","0","8","0","94","84","100","70","11","2","10","26","25","23","16","2","6","0","3","4","0","0","8","0"
"AL","15","0","0","136","5","92","87","97","58","7","2","9","25","29","23","14","5","148","1","5","143","2","9","132","10"
"AR","19","0","0","47","11","94","88","100","60","14","1","8","25","30","23","15","2","59","2","2","58","2","1","52","10"
"AS","","","1","0","0","","","","","","","","","","","","1","0","0","0","1","0","0","0","1"
"AZ","12","0","0","104","3","93","88","70","73","9","1","9","27","29","22","13","0","103","9","3","107","1","12","89","11"
"CA","12","0","8","512","23","94","86","78","67","10","1","10","28","31","20","11","12","510","46","7","549","16","66","444","52"
"CO","18","1","0","62","2","93","88","86","74","9","1","11","29","30","21","10","1","67","1","2","65","0","16","50","1"
"CT","15","0","1","40","1","96","91","100","66","10","1","10","27","32","21","10","1","42","0","1","40","2","4","39","0"
"DC","20","1","0","18","0","94","91","94","63","8","3","12","27","29","21","11","0","19","0","0","18","3","7","12","1"
"DE","14","0","0","19","1","91","88","0","63","8","2","10","26","29","22","13","0","20","0","1","20","1","3","17","1"
"FL","17","0","0","287","50","93","88","80","62","11","2","9","27","31","21","12","0","316","56","3","336","33","13","289","52"
"GA","16","0","0","274","8","93","87","77","62","8","2","10","26","30","22","13","0","298","2","6","286","6","14","259","17"
"GU","9","0","0","4","0","93","64","","70","9","1","7","20","24","27","21","3","1","0","0","4","0","0","1","3"
"HI","10","0","0","22","1","95","89","100","67","9","1","9","26","28","24","13","0","24","0","0","24","0","7","18","0"
"IA","19","0","0","46","2","95","86","83","66","13","1","9","28","30","21","12","0","62","0","3","50","0","2","60","1"
"ID","13","1","0","20","0","94","90","83","70","9","1","9","29","30","20","11","1","23","0","0","21","1","0","22","2"
"IL","18","0","1","222","6","94","86","80","62","12","2","10","27","30","22","12","0","243","6","1","229","12","19","218","8"
"IN","18","0","0","131","4","93","87","67","60","13","1","10","27","30","21","12","1","144","0","4","134","2","5","132","5"
"KS","14","0","0","44","1","93","89","30","69","7","2","9","26","31","21","13","1","45","2","2","46","0","4","44","0"
"KY","17","0","0","89","11","93","90","94","64","10","2","9","26","29","23","14","0","100","7","5","101","3","6","84","16"
"LA","15","0","0","129","16","93","86","82","60","9","2","9","25","29","24","14","1","149","2","7","137","5","4","127","20"
"MA","19","0","0","61","5","94","84","93","66","11","2","9","26","30","23","12","0","70","0","0","67","3","17","52","2"
"MD","19","0","1","119","4","94","85","100","60","11","2","10","27","30","20","12","0","128","3","1","124","8","12","97","18"
"ME","13","0","0","16","1","92","84","","71","10","2","8","25","29","24","14","1","16","0","1","15","0","7","10","0"
"MI","18","0","0","164","9","94","82","85","61","10","2","9","27","31","22","11","0","160","21","2","169","16","11","162","9"
"MN","16","0","0","91","4","94","87","75","68","12","2","9","28","31","21","11","0","101","5","2","95","4","8","95","0"
"MO","17","0","0","124","2","93","87","67","62","10","2","9","26","29","23","13","0","140","4","2","135","4","5","122","13"
"MP","","","0","2","0","","","","","","","","","","","","0","2","0","0","2","0","0","1","1"
"MS","23","0","0","69","6","92","77","84","66","9","3","10","26","28","23","12","9","68","0","4","69","2","8","57","10"
"MT","9","0","0","12","0","92","81","","72","14","3","8","21","26","26","18","1","11","0","2","9","0","4","8","0"
"NC","14","0","0","174","9","92","89","80","64","9","2","10","26","30","22","12","0","189","0","5","184","1","7","168","11"
"ND","26","0","0","11","1","90","48","","70","10","1","11","27","27","23","12","0","12","0","0","11","0","2","13","0"
"NE","12","1","0","30","2","95","83","75","64","12","1","9","28","31","21","12","0","36","0","1","30","0","2","34","0"
"NH","15","0","0","14","0","91","93","","72","13","3","7","24","28","26","15","0","17","0","1","16","0","0","16","0"
"NJ","15","0","2","129","2","93","84","90","65","11","2","11","28","30","22","10","1","141","0","2","134","8","12","114","10"
"NM","10","0","3","33","1","93","84","67","73","9","2","9","24","28","24","14","3","35","0","5","31","1","7","23","8"
"NV","15","0","0","40","2","90","88","74","66","10","1","9","27","31","21","11","0","43","0","3","40","0","0","43","0"
"NY","18","0","4","213","9","93","77","85","67","12","2","11","26","29","23","11","0","231","11","3","222","19","43","172","24"
"OH","16","0","0","208","26","95","86","98","61","12","2","9","26","30","24","13","0","249","17","3","251","11","24","219","16"
"OK","14","1","0","72","2","93","86","82","71","12","1","8","25","29","23","15","0","76","0","2","72","2","10","62","5"
"OR","10","0","0","52","1","92","91","84","70","9","2","8","26","30","23","12","0","57","2","1","57","0","4","53","1"
"PA","16","0","0","203","30","94","84","92","65","11","2","10","28","30","21","10","0","229","30","1","248","11","31","209","13"
"PR","9","0","0","31","5","88","75","0","57","19","4","11","28","28","23","9","1","32","6","2","36","1","0","12","28"
"RI","27","0","0","12","2","96","89","100","72","10","3","8","23","28","26","16","0","14","1","0","15","0","3","12","0"
"SC","16","0","1","120","4","91","86","94","57","9","2","10","26","29","23","13","2","122","2","3","122","2","7","106","12"
"SD","21","0","0","17","0","92","78","100","70","8","1","9","27","29","23","12","0","18","0","0","15","0","6","13","0"
"TN","14","0","0","139","20","93","87","90","63","12","2","9","25","30","22","14","0","157","6","3","155","4","4","151","8"
"TX","14","0","3","468","32","94","86","82","64","9","2","9","26","30","22","14","5","503","19","17","507","6","25","428","65"
"UT","21","0","0","32","0","95","90","78","75","8","2","8","24","28","27","15","0","36","0","0","34","0","1","32","3"
"VA","18","0","0","131","9","93","86","82","63","12","1","9","26","30","22","13","0","148","0","1","142","4","4","127","14"
"VI","39","1","0","3","0","88","","0","58","10","3","17","30","26","21","6","0","3","0","0","3","0","0","3","0"
"VT","29","0","0","6","0","94","55","","67","16","1","4","24","32","26","13","0","8","0","0","7","0","0","7","1"
"WA","12","0","0","75","0","93","89","91","73","9","2","8","25","29","24","15","0","79","2","1","79","1","3","70","4"
"WI","16","0","0","95","6","94","79","82","68","13","1","10","28","30","21","11","0","107","1","1","105","1","10","93","3"
"WV","17","0","0","25","8","90","84","100","61","15","2","10","26","28","23","13","0","31","3","0","33","1","1","29","4"
"WY","16","1","0","7","0","90","74","88","68","10","2","10","24","27","25","13","0","9","0","0","6","0","0","9","0"
