"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of adult PD patients with Kt/V>=1.7","Percentage of adult HD patients with Kt/V>=1.2","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)","Fistula Rate - Better than expected (State)","Fistula Rate - As expected (State)","Fistula Rate - Worse than expected (State)","Percentage of Adult patients with long term catheter in use","Percentage of pediatric HD patients with nPCR in use","Infection - Better than expected (State)","Infection - As expected (State)","Infection - Worse than expected (State)"
"OH","19","0","1","250","6","96","87","91","97","2","8","25","31","22","14","1","270","25","3","279","17","21","261","11","2","277","14","14","","26","214","29"
"OK","15","0","0","77","2","100","76","93","96","2","8","24","30","22","16","1","77","2","3","77","1","2","68","9","4","75","0","14","","10","61","3"
"OR","11","0","0","55","3","100","78","96","97","2","7","24","32","24","13","0","62","2","2","62","0","1","57","6","3","62","0","8","","8","51","2"
"PA","17","0","1","233","22","94","78","90","97","2","10","27","31","20","11","1","255","30","1","278","10","34","234","10","8","271","6","14","","30","224","18"
"PR","10","0","0","0","0","86","83","90","94","1","9","26","30","25","9","0","0","0","0","0","0","0","0","0","0","0","0","22","","11","21","10"
"RI","28","0","0","14","1","100","","87","99","1","8","23","29","26","15","0","15","0","0","15","0","1","14","0","2","13","0","9","","1","14","0"
"SC","19","0","0","70","13","96","39","91","96","1","10","25","29","22","14","0","89","0","2","84","4","2","77","9","0","83","4","10","","27","101","7"
"SD","23","0","0","16","0","100","58","82","95","2","8","26","31","22","13","3","21","0","0","22","0","3","20","1","1","22","1","19","","3","15","2"
"TN","17","0","0","155","14","53","58","92","96","2","8","24","31","22","15","0","172","4","1","172","5","3","156","15","6","168","4","13","","26","125","11"
"TX","16","0","2","457","29","91","74","89","96","2","8","24","31","21","15","2","504","22","20","504","10","19","437","46","15","503","24","13","","104","423","31"
"UT","20","1","0","33","1","100","85","93","98","3","7","23","29","25","15","1","38","0","3","34","0","1","32","6","6","33","0","11","","3","29","5"
"VA","17","0","0","150","14","93","69","94","97","2","9","26","31","21","13","1","174","2","5","169","4","12","147","9","3","169","6","13","","27","131","5"
"VI","41","0","0","0","0","","","","89","4","11","29","28","23","9","0","1","0","0","0","0","0","1","0","0","1","0","17","","0","0","0"
"VT","21","0","0","7","0","86","","58","97","5","5","23","31","26","15","1","7","0","1","7","0","0","7","1","0","8","0","21","","0","6","2"
"WA","13","0","0","84","2","96","83","91","96","2","8","23","29","24","16","0","90","0","4","85","0","5","83","2","5","83","2","12","","10","72","2"
"WI","16","0","1","100","3","92","39","93","96","2","9","26","31","21","12","1","120","0","1","116","0","19","97","3","6","111","1","15","","8","100","9"
"WV","18","0","0","27","9","0","","95","96","1","10","26","28","23","14","0","40","1","0","40","2","0","39","2","1","42","1","18","","9","27","3"
"WY","11","0","0","8","0","","","96","97","2","8","24","25","27","16","0","10","0","1","7","0","2","6","1","0","10","0","14","","1","5","1"
