"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of patients with arteriovenous fistulae in use","Percentage of patients with vascular catheter in use for 90 days or longer","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival - Better than expected (State)","Survival - As expected (State)","Survival - Worse than expected (State)"
"AK","9","0","1","7","0","97","93","","79","73","12","1","10","25","26","23","16","2","6","0","0","8","0","1","7","0"
"AL","16","0","0","147","8","96","92","100","72","60","8","1","9","25","29","23","14","6","156","2","5","154","3","10","141","11"
"AR","18","0","0","53","8","96","93","100","89","64","13","1","8","23","30","22","16","5","60","1","0","63","1","1","53","12"
"AS","8","62","1","0","0","92","","100","","82","0","11","8","20","27","29","15","1","0","0","0","1","0","0","1","0"
"AZ","13","0","0","105","2","96","93","96","85","76","9","0","9","26","30","22","14","1","106","7","3","110","0","10","93","10"
"CA","13","0","7","545","24","95","87","92","46","70","10","1","9","27","32","20","12","11","552","39","23","568","8","60","505","41"
"CO","21","0","0","63","0","97","87","92","33","75","9","1","9","27","31","21","11","1","73","0","6","65","0","8","65","2"
"CT","14","0","0","42","1","97","94","89","38","69","9","1","9","27","32","20","11","0","46","0","1","45","1","6","38","1"
"DC","22","0","0","17","2","96","92","98","72","66","9","1","12","27","28","21","11","0","19","0","0","16","4","8","12","1"
"DE","16","0","0","21","0","97","92","72","36","64","9","0","10","26","29","22","12","0","23","0","1","22","0","1","20","1"
"FL","20","0","0","318","56","95","91","97","58","64","12","1","9","27","33","20","12","1","341","67","1","378","32","11","333","51"
"GA","18","0","0","279","14","95","89","97","59","64","9","1","10","26","31","21","13","1","310","4","4","298","9","11","278","16"
"GU","14","0","0","4","0","93","53","","50","72","10","1","6","18","24","29","23","3","1","0","0","4","0","0","2","2"
"HI","9","0","0","21","2","97","89","89","45","69","7","0","8","26","29","24","13","2","22","1","1","23","0","3","22","0"
"IA","16","0","0","44","3","97","93","97","82","70","11","1","8","26","32","21","13","0","61","1","1","52","0","2","57","3"
"ID","15","0","0","22","0","98","95","100","33","72","10","1","9","29","31","20","12","0","27","0","2","22","0","1","24","3"
"IL","19","0","0","229","10","96","87","91","32","64","13","1","9","26","31","21","12","0","257","8","1","251","10","43","211","11"
"IN","18","0","0","136","3","96","92","100","89","64","13","1","10","27","30","21","12","3","141","7","2","144","5","10","135","3"
"KS","17","0","0","45","1","96","94","100","","73","7","1","9","26","32","20","14","0","51","0","0","47","3","1","49","1"
"KY","17","0","0","95","13","96","93","94","67","65","10","1","8","26","30","22","14","0","108","4","2","108","3","7","99","5"
"LA","16","0","0","139","11","96","93","86","90","62","10","1","9","25","29","23","14","2","154","3","1","155","5","1","142","15"
"MA","21","0","0","61","5","97","87","90","87","69","12","1","8","27","31","22","12","0","72","2","0","72","5","19","52","1"
"MD","23","0","0","117","8","94","86","72","71","62","12","1","10","26","32","19","12","0","138","1","2","138","1","6","110","18"
"ME","14","0","0","17","0","96","92","100","","71","12","1","7","25","31","24","13","0","17","0","3","14","0","3","14","0"
"MI","18","0","0","174","7","96","92","92","89","63","11","1","9","27","32","21","11","0","172","24","3","190","4","10","183","3"
"MN","17","0","0","94","2","96","93","93","17","70","12","1","9","27","31","21","12","0","107","2","4","98","2","4","104","2"
"MO","18","0","0","131","3","96","91","91","83","64","10","1","8","25","30","22","14","0","147","5","3","150","0","6","138","5"
"MP","20","0","0","2","0","88","58","","","50","11","1","5","20","25","30","20","0","2","0","0","2","0","0","1","1"
"MS","24","0","1","66","11","96","92","97","84","70","10","1","10","26","29","23","13","7","74","0","2","77","3","8","65","8"
"MT","9","1","0","12","0","96","85","","","70","14","1","8","23","28","25","15","0","12","0","1","11","0","1","11","0"
"NC","18","0","0","130","11","96","94","94","71","66","11","1","10","25","30","22","13","2","148","0","5","143","1","5","129","11"
"ND","34","0","0","13","0","95","88","100","","78","10","1","11","27","28","23","11","0","15","0","0","15","0","1","15","0"
"NE","12","0","0","32","1","95","78","100","41","63","12","1","9","28","32","19","11","0","36","0","2","33","0","0","37","0"
"NH","16","0","0","15","2","97","93","100","100","72","14","1","8","24","29","25","14","0","18","0","1","16","1","1","17","0"
"NJ","15","0","0","150","3","97","90","100","27","68","11","1","11","28","31","20","10","0","158","1","1","156","3","27","122","8"
"NM","11","0","0","37","3","97","87","96","49","76","10","1","8","25","28","24","15","2","43","0","2","42","0","7","30","4"
"NV","16","0","0","42","1","96","93","88","5","68","10","1","9","26","32","21","13","0","45","1","1","42","0","2","41","1"
"NY","19","0","1","219","19","95","82","92","64","70","12","1","10","26","30","23","11","0","231","25","2","245","12","53","181","27"
