"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of patients with arteriovenous fistulae in use","Percentage of patients with vascular catheter in use for 90 days or longer","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival - Better than expected (State)","Survival - As expected (State)","Survival - Worse than expected (State)"
"OH","19","0","0","217","20","96","90","92","89","63","12","1","8","26","31","22","13","1","255","24","4","280","3","30","239","13"
"OK","15","0","0","70","4","96","92","100","61","74","12","1","8","24","30","22","16","1","77","0","3","73","1","8","65","4"
"OR","11","0","0","55","2","97","93","97","47","71","8","1","8","26","31","23","13","1","60","1","3","60","0","6","58","0"
"PA","17","0","0","223","28","96","89","84","63","67","11","1","10","28","31","20","11","1","249","28","0","271","10","29","235","10"
"PR","12","0","0","26","16","97","90","82","87","57","20","0","10","27","30","24","9","0","39","6","0","44","1","0","16","29"
"RI","30","0","0","10","5","99","92","95","","76","10","1","7","23","29","25","15","0","15","0","0","15","0","2","13","0"
"SC","19","0","0","121","10","96","90","99","55","60","10","1","10","26","29","22","14","1","133","5","1","133","4","3","115","14"
"SD","24","0","0","16","1","94","81","100","25","69","13","1","8","26","31","22","13","1","21","0","1","18","0","4","16","1"
"TN","16","0","0","150","14","95","90","80","45","66","12","1","8","25","30","22","15","0","165","9","2","169","3","8","152","12"
"TX","15","0","2","494","47","96","88","93","81","66","10","1","9","25","31","21","14","4","539","33","17","553","8","19","489","61"
"UT","23","0","0","32","1","97","92","100","51","79","8","1","7","24","28","26","15","0","36","0","2","32","0","1","32","3"
"VA","19","0","1","147","7","96","93","85","66","66","12","0","9","26","31","21","13","0","164","1","3","158","3","9","132","16"
"VI","38","0","0","3","0","95","","","","59","8","1","14","27","27","23","8","0","5","0","0","3","0","0","4","0"
"VT","24","0","0","6","0","96","59","100","","66","17","1","4","25","31","28","13","0","7","0","0","7","0","1","6","1"
"WA","12","0","0","77","0","96","91","100","77","75","10","1","8","24","29","23","16","1","81","0","4","74","1","4","74","2"
"WI","16","0","0","101","3","96","93","85","29","69","13","1","10","27","31","21","12","0","116","1","3","106","2","14","97","5"
"WV","17","0","1","23","8","96","94","58","0","62","18","1","9","27","28","23","13","0","34","2","1","36","0","1","29","5"
"WY","12","1","0","8","0","96","87","","","68","11","1","8","23","27","27","15","0","9","0","1","5","0","1","8","0"
