"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of adult PD patients with Kt/V>=1.7","Percentage of adult HD patients with Kt/V>=1.2","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)","Fistula Rate - Better than expected (State)","Fistula Rate - As expected (State)","Fistula Rate - Worse than expected (State)","Percentage of Adult patients with long term catheter in use","Percentage of pediatric HD patients with nPCR in use","Infection - Better than expected (State)","Infection - As expected (State)","Infection - Worse than expected (State)"
"AK","11","0","0","8","0","89","36","93","97","2","10","25","26","23","16","1","8","0","0","8","0","2","6","0","0","9","0","14","","2","7","0"
"AL","17","0","0","130","18","92","80","93","96","1","9","24","29","23","15","2","157","2","7","143","8","4","138","13","2","137","18","8","","15","134","8"
"AR","19","0","0","54","9","100","93","92","96","4","8","22","30","22","17","0","63","2","1","62","2","1","52","12","0","61","6","15","","5","51","7"
"AS","2","73","0","1","0","","","","96","11","6","23","32","27","12","1","0","0","0","1","0","0","1","0","0","1","0","18","","0","0","0"
"AZ","14","0","0","108","1","96","82","95","96","2","9","25","30","22","14","0","114","1","1","112","1","9","90","14","6","107","1","13","","19","86","7"
"CA","14","0","0","555","36","89","54","90","96","2","8","25","32","21","13","13","563","42","12","590","15","45","492","72","48","535","3","13","","98","433","13"
"CO","21","0","0","63","0","100","39","91","97","2","9","27","31","22","12","2","72","0","3","70","0","3","70","0","12","62","0","10","","0","61","8"
"CT","15","0","0","46","2","100","27","95","97","1","10","27","32","21","11","1","47","0","0","48","0","12","36","0","5","43","0","9","","3","40","4"
"DC","19","0","0","19","0","94","94","90","97","3","11","26","30","21","12","1","17","1","0","18","1","7","12","0","0","18","1","9","","2","15","2"
"DE","15","0","0","21","0","98","76","93","97","2","10","25","30","23","12","1","23","0","0","25","0","3","20","0","0","25","0","10","","5","17","1"
"FL","21","0","0","234","14","98","60","92","96","2","8","26","32","20","13","0","240","41","8","256","24","10","228","31","4","264","9","14","","38","318","22"
"GA","20","0","0","215","13","100","84","91","95","3","9","25","31","21","14","0","244","5","5","222","17","3","215","24","2","232","14","11","","34","252","12"
"GU","14","0","0","4","0","","94","92","94","4","6","18","25","29","23","2","2","0","0","4","0","0","2","2","0","5","0","11","","0","3","1"
"HI","9","0","1","24","0","100","38","93","98","2","8","25","29","24","13","2","24","0","1","25","0","2","24","0","0","30","0","11","","6","21","1"
"IA","18","0","0","47","3","100","85","95","98","2","8","26","32","22","13","1","64","0","1","56","3","5","54","4","2","65","0","12","","7","50","3"
"ID","16","0","0","24","0","100","96","95","98","1","9","28","31","20","12","2","25","0","2","22","0","0","26","2","3","25","0","10","","3","21","0"
"IL","20","0","0","236","8","93","65","84","97","2","9","26","30","22","13","0","273","6","1","268","6","58","206","10","8","253","7","14","","36","187","11"
"IN","20","0","0","141","3","98","91","93","97","2","9","26","30","21","13","3","149","1","5","142","4","17","134","1","2","146","9","13","","22","119","5"
"KS","19","0","0","46","2","100","100","94","97","2","8","26","33","20","14","1","50","1","3","42","4","4","45","3","4","48","0","11","","3","45","1"
"KY","20","0","0","103","7","87","50","94","96","2","8","25","30","23","14","0","112","3","3","105","6","7","100","6","1","113","1","10","","9","100","0"
"LA","15","0","0","131","17","96","87","93","96","1","8","25","29","23","14","1","160","0","1","153","6","3","136","18","1","164","0","10","","12","135","9"
"MA","19","0","0","68","4","100","97","89","97","2","8","26","31","23","13","0","78","1","0","76","1","24","54","0","3","75","0","15","","15","56","3"
"MD","24","0","0","123","13","74","0","90","96","3","10","25","32","20","13","0","152","1","2","147","4","25","108","11","1","143","8","15","","11","123","3"
"ME","15","0","0","16","0","100","100","94","97","2","7","24","32","24","13","1","16","0","0","16","1","2","15","0","2","15","0","12","","3","14","0"
"MI","19","0","0","172","13","99","89","93","97","2","8","26","32","21","12","0","191","11","7","183","7","23","168","3","3","176","9","12","","26","143","17"
"MN","19","0","0","100","0","100","65","92","97","2","8","27","31","21","13","0","113","2","2","105","2","7","104","1","4","111","0","13","","5","91","11"
"MO","18","0","0","133","4","93","87","93","97","2","8","25","30","23","14","1","153","3","2","149","4","14","129","9","5","147","1","11","","14","123","10"
"MP","18","0","0","2","0","","","72","91","1","7","21","25","28","19","0","2","0","0","2","0","0","2","0","0","1","1","12","","0","1","1"
"MS","27","0","0","66","17","80","82","94","97","1","10","25","29","23","14","7","77","1","2","81","3","2","75","8","7","77","0","9","","7","62","9"
"MT","10","1","0","12","1","","100","92","96","2","7","23","27","27","16","1","13","0","3","10","0","0","13","1","3","11","0","16","","4","9","0"
"NC","18","0","0","191","6","96","77","94","97","1","9","24","30","23","14","3","198","2","0","202","0","8","183","10","11","190","6","12","","30","160","7"
"ND","35","0","0","13","0","100","0","84","97","2","10","27","29","23","11","0","16","0","0","15","0","0","16","0","4","11","0","12","","1","10","3"
"NE","15","1","0","31","2","92","44","92","96","2","9","28","33","18","12","0","37","0","0","33","0","2","35","0","1","35","0","11","","2","29","1"
"NH","18","0","0","15","1","80","100","90","97","2","8","24","30","24","15","0","18","0","0","17","1","3","15","0","0","18","0","16","","3","14","1"
"NJ","15","0","0","150","5","97","33","92","97","2","10","29","31","20","10","0","162","1","0","161","2","43","112","2","23","141","4","13","","26","130","1"
"NM","14","0","0","44","1","100","18","90","97","2","9","25","29","23","15","1","49","0","4","45","0","6","39","2","4","45","0","16","","3","38","1"
"NV","17","0","0","43","1","81","26","94","97","2","8","25","33","21","14","0","45","2","0","42","4","1","44","0","2","44","1","14","","15","27","1"
"NY","20","0","0","219","30","93","75","84","95","3","10","26","30","23","12","1","252","17","2","259","8","43","204","22","38","240","7","16","","44","183","12"
"OH","19","0","1","250","6","96","84","91","97","2","8","25","31","22","14","1","270","25","3","279","17","21","261","11","2","277","15","14","","26","213","29"
"OK","16","0","0","77","2","100","80","93","97","2","8","24","30","22","16","1","77","2","3","77","1","2","68","9","2","78","0","15","","10","61","3"
"OR","10","0","0","55","3","100","70","95","97","2","7","24","32","24","13","0","62","2","2","62","0","1","57","6","3","62","0","9","","8","51","2"
"PA","17","0","1","233","22","95","76","91","97","2","10","27","31","20","11","1","255","30","1","278","10","34","234","10","7","274","7","14","","30","221","18"
"PR","11","0","0","0","0","87","75","90","94","1","9","26","31","24","10","0","0","0","0","0","0","0","0","0","0","0","0","23","","11","21","10"
