"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of adult PD patients with Kt/V>=1.7","Percentage of adult HD patients with Kt/V>=1.2","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)","Fistula Rate - Better than expected (State)","Fistula Rate - As expected (State)","Fistula Rate - Worse than expected (State)","Percentage of Adult patients with long term catheter in use","Percentage of pediatric HD patients with nPCR in use","Infection - Better than expected (State)","Infection - As expected (State)","Infection - Worse than expected (State)","Incident Patients Transplant waitlisting- Better than expected (State)","Incident Patients Transplant waitlisting - As expected (State)","Incident Patients Transplant waitlisting - Worse than expected (State)","Prevalent Patients Transplant Waitlisting- Better than expected (State)","Prevalent Patients Transplant Waitlisting - As expected (State)","Prevalent Patients Transplant Waitlisting - Worse than expected (State)"
"OH","20","0","1","256","7","99","80","91","97","2","8","24","31","23","14","0","295","19","3","292","17","17","277","12","7","283","16","15",,"26","238","16","4","127","2","3","301","17"
"OK","18","0","1","77","3","90","69","95","97","2","7","23","30","22","17","1","81","0","1","80","0","3","69","8","3","78","0","14",,"11","62","4","0","55","3","0","77","7"
"OR","13","0","0","60","1","80","81","96","97","2","7","25","32","23","13","3","64","0","4","62","0","2","60","4","2","63","0","9",,"12","51","0","1","39","1","1","66","3"
"PA","19","0","0","237","20","89","80","91","97","1","9","27","31","21","12","0","272","21","1","285","10","25","253","9","10","281","5","14",,"30","233","13","19","113","1","34","261","1"
"PR","10","0","0","16","25","99","75","94","97","1","9","26","32","24","9","0","32","11","0","40","4","0","10","36","0","26","19","26",,"16","25","1","0","30","8","0","39","8"
"RI","30","0","0","13","2",,,"88","99","0","6","22","28","27","16","0","16","0","0","16","0","2","13","0","2","14","0","9",,"2","14","0","4","6","0","4","12","0"
"SC","20","0","0","133","7","90","52","92","96","1","9","25","29","23","14","1","144","3","9","138","2","5","129","11","1","134","10","9",,"31","101","4","1","87","8","3","150","1"
"SD","22","0","0","17","2","100","75","86","95","3","8","27","32","21","12","2","25","0","1","21","1","3","23","0","1","25","1","19",,"0","18","3","1","5","0","2","24","0"
"TN","19","0","0","154","20","71","73","92","96","2","7","23","30","23","17","1","177","6","2","183","2","4","160","19","4","173","5","14",,"30","137","4","6","89","7","4","184","0"
"TX","17","0","1","554","35","94","70","91","97","2","8","24","31","22","15","3","611","20","6","614","15","16","533","57","18","617","27","13",,"112","459","22","18","433","27","20","649","19"
"UT","18","1","0","35","0","91","88","93","98","2","7","23","29","25","16","0","41","0","3","36","0","1","37","3","4","38","0","12",,"4","30","2","0","20","0","0","45","0"
"VA","18","1","0","157","17","97","43","94","97","2","8","25","32","22","14","1","186","1","7","176","4","7","167","8","6","178","6","13",,"23","148","3","8","102","2","6","186","1"
"VI","46","1","0","3","0",,,,"91","22","10","27","26","25","12","1","2","0","0","2","0","1","3","0","0","3","1","10",,"0","2","0","0","0","0","0","4","0"
"VT","27","0","0","7","0",,,"63","97","5","5","22","30","28","14","0","7","0","0","8","0","0","7","1","0","8","0","18",,"0","7","0","0","1","0","0","8","0"
"WA","15","0","0","86","1","94","87","92","97","1","7","22","29","24","18","1","90","0","1","90","0","8","79","4","9","85","1","12",,"10","74","3","2","53","3","2","92","2"
"WI","17","0","0","106","4","90","64","90","97","2","9","26","31","22","13","2","119","0","3","112","3","11","106","3","7","114","1","15",,"10","99","6","5","44","1","1","121","2"
"WV","21","0","0","25","14",,"77","96","96","1","8","25","29","24","14","0","41","1","2","40","2","0","39","1","1","43","1","17",,"8","30","1","0","18","2","0","44","1"
"WY","12","1","0","9","0",,,"93","97","1","7","23","25","28","18","1","9","0","0","10","0","1","8","1","0","10","0","11",,"2","6","1","1","2","0","0","10","0"
