STATE,Transfusions- Better than expected (STATE),Transfusions- As expected (STATE),Transfusions- Worse than expected (STATE),Infection- Better than expected (STATE),Infection- As expected (STATE),Infection- Worse than expected (STATE),Percentage of adult HD patients with Kt/V>=1.2,Percentage Of Adult PD Patients With Kt/V>=1.7,Percentage Of Pediatric HD Patients With Kt/V>=1.2,Percentage Of Pediatric PD Patients With Kt/V>=1.8,Percentage Of Pediatric HD Patients With nPCR In Use,Fistula Rate - Better Than Expected (STATE),Fistula Rate - As Expected (STATE),Fistula Rate - Worse Than Expected (STATE),Percentage Of Adult Patients With Long Term Catheter In Use,Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL),Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL,Hospitalizations- Better Than Expected (STATE),Hospitalizations- As Expected (STATE),Hospitalizations- Worse Than Expected (STATE),Hospital Readmission - Better Than Expected (STATE) ,Hospital Readmission - As Expected (STATE),Hospital  Readmission - Worse Than Expected (STATE),Survival- Better Than Expected (STATE),Survival- As Expected (STATE),Survival- Worse Than Expected (STATE),Incident Patients Transplant Waitlisting- Better Than Expected (STATE),Incident Patients Transplant Waitlisting - As Expected (STATE),Incident Patients Transplant Waitlisting - Worse Than Expected (STATE),Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE),Prevalent Patients Transplant Waitlisting - As Expected (STATE),Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE),Percentage Of Patients With Hgb<10 g/dL,Percentage of patients with Hgb>12 g/dL
AK,1,6,0,3,6,0,98,94,,,,0,9,0,13,1,10,26,28,21,15,2,7,0,0,7,0,0,9,0,1,3,0,0,9,0,15,0
AL,0,136,10,39,123,0,97,95,97,64,90,7,150,18,10,1,7,22,28,24,18,0,176,6,3,160,2,1,173,3,1,76,5,2,177,2,21,0
AR,0,50,10,24,37,0,97,93,96,100,86,2,59,5,18,2,6,20,29,23,21,1,60,5,2,58,1,0,65,5,0,34,3,0,58,8,22,0
AS,0,2,0,0,0,0,,,,,,0,1,1,,,,,,,,0,2,0,0,1,0,0,1,0,0,0,1,0,0,2,,
AZ,0,100,0,52,69,0,97,95,97,94,98,8,116,0,14,2,8,23,29,23,17,1,120,4,1,113,4,2,112,6,2,89,7,1,124,5,18,0
CA,1,565,16,291,312,1,97,91,92,65,94,40,601,3,13,2,8,24,32,21,15,17,673,9,12,635,13,15,654,14,65,396,35,202,517,1,15,1
CO,0,51,0,21,53,1,98,93,100,54,100,12,65,0,12,1,8,25,30,23,14,0,78,0,3,66,0,4,75,0,7,37,0,7,74,0,20,0
CT,0,47,0,13,35,0,97,96,86,100,90,9,40,1,13,2,8,24,33,22,13,0,49,1,1,47,0,5,45,0,3,22,0,4,46,0,21,0
DC,0,18,0,6,13,0,98,78,95,80,97,0,20,0,13,4,9,24,30,21,15,0,20,0,1,18,0,1,18,1,1,12,0,1,18,1,25,0
DE,0,22,0,13,13,0,98,94,,100,100,0,30,0,12,1,8,24,30,24,15,0,28,0,0,26,1,0,29,0,0,9,0,1,29,0,20,0
FL,0,342,39,151,274,2,97,93,97,68,94,4,459,16,16,2,7,24,32,21,15,0,400,79,5,430,30,5,448,18,11,260,14,6,489,11,20,0
GA,0,282,21,109,213,5,97,93,97,81,90,5,342,10,12,3,8,23,30,23,16,1,349,17,10,326,9,2,339,18,5,190,9,9,360,8,22,0
GU,1,4,0,5,0,0,84,88,,100,,0,5,0,12,4,8,21,28,26,17,1,4,0,0,5,0,0,5,0,0,0,5,0,1,4,10,0
HI,0,28,1,13,18,1,98,96,,100,,0,31,2,10,1,8,25,29,24,13,7,24,0,1,26,0,6,25,0,1,20,4,0,32,1,13,0
IA,0,34,5,7,53,1,98,93,88,100,90,1,67,0,14,2,6,24,31,23,16,0,68,0,0,47,0,1,65,2,2,24,1,0,65,3,19,0
ID,0,21,1,4,19,0,98,97,100,0,94,1,24,0,14,1,8,24,30,22,16,0,27,0,1,24,0,0,25,2,0,12,0,0,25,1,20,0
IL,0,230,13,113,164,2,98,90,87,59,99,2,265,15,18,2,8,24,30,23,15,0,298,20,2,279,12,16,292,9,8,146,3,10,304,9,23,0
IN,0,123,8,49,110,1,97,96,98,93,96,1,163,3,16,1,8,24,29,23,16,2,169,1,4,149,3,4,170,0,1,68,5,1,162,9,22,0
KS,0,42,1,7,49,0,98,97,100,,100,10,50,0,9,2,7,23,31,22,17,0,62,0,1,52,3,1,58,3,1,26,2,0,55,5,19,0
KY,0,80,10,29,87,1,97,94,76,71,96,3,119,1,12,1,6,23,30,24,17,1,122,2,2,107,2,1,123,1,2,56,1,0,125,2,22,0
LA,0,121,24,48,116,0,97,96,92,86,100,4,168,4,12,1,8,23,29,24,17,2,175,4,2,166,6,1,174,8,3,84,1,2,179,2,21,0
MA,0,69,2,29,47,1,98,88,100,100,97,2,77,1,15,2,7,24,30,23,15,0,76,4,2,75,0,3,78,0,16,24,0,43,40,0,22,0
MD,0,132,4,56,89,1,98,86,100,100,100,2,151,7,16,2,8,23,32,22,16,9,157,2,4,139,1,5,144,15,7,84,2,13,145,2,24,0
ME,0,17,0,5,13,1,98,95,100,,80,0,20,0,15,1,6,22,30,26,16,1,19,0,1,18,0,0,20,0,0,6,0,0,20,0,16,0
MI,0,158,11,66,125,0,97,93,93,100,85,1,190,14,15,1,7,23,31,23,15,3,201,13,1,193,7,9,203,3,4,102,5,5,207,7,21,0
MN,0,70,3,14,81,0,98,93,94,100,96,4,107,0,16,1,8,24,30,22,16,1,110,2,3,95,3,2,114,2,3,26,1,6,108,0,21,0
MO,0,109,8,36,103,4,97,95,93,96,92,1,145,4,14,1,8,23,29,24,16,0,154,5,2,143,2,4,154,1,1,62,3,1,149,9,22,0
MP,1,1,0,0,1,0,,,,,,0,1,1,,,,,,,,0,2,0,0,1,1,0,2,0,0,0,1,0,0,2,,
MS,0,70,15,20,58,2,97,94,97,100,100,6,79,2,13,2,8,23,28,24,16,4,85,2,0,85,2,1,85,4,0,59,5,2,87,3,29,0
MT,0,11,0,8,9,0,97,92,,,100,0,17,0,17,2,7,22,26,25,20,0,16,0,0,12,0,0,15,1,0,9,0,0,17,0,15,1
NC,0,194,15,68,165,3,97,96,96,67,97,10,220,4,13,1,7,22,29,25,17,2,231,4,5,214,2,4,220,4,5,124,5,1,237,4,20,0
ND,0,8,4,0,10,2,97,84,,,,0,14,0,14,2,10,26,28,23,13,0,14,0,0,12,0,0,15,0,1,6,0,0,14,0,37,0
NE,0,27,0,5,25,0,98,93,,100,100,1,36,0,14,1,7,25,32,21,14,0,36,1,0,31,0,0,37,1,2,15,0,0,34,3,16,1
NH,0,12,1,6,13,0,98,93,,,,1,19,0,19,2,6,23,29,26,16,1,17,1,1,17,0,0,20,0,4,5,0,5,15,0,21,0
NJ,0,156,4,59,129,2,98,93,97,86,100,22,162,5,13,2,9,27,33,20,12,2,178,8,2,173,9,10,173,3,20,87,1,23,164,2,17,0
NM,0,45,3,19,34,0,97,93,100,71,85,6,49,0,14,2,8,23,30,23,16,0,57,0,1,48,1,3,51,2,1,28,5,1,56,0,17,1
NV,0,45,0,27,21,0,98,94,81,75,81,2,46,1,17,2,7,23,31,23,16,1,46,3,1,43,3,0,48,1,0,30,8,1,48,4,18,0
NY,1,234,17,114,156,8,96,90,89,69,82,43,254,10,16,3,9,24,30,24,14,4,282,17,2,284,13,21,268,13,48,141,2,62,242,3,22,1
OH,0,152,13,68,220,5,97,95,89,81,91,4,290,18,18,1,7,23,30,23,16,0,305,24,5,296,8,9,305,15,8,105,2,2,317,13,21,0
OK,0,61,15,20,60,0,98,94,97,43,100,7,76,0,15,1,7,22,28,23,20,0,82,3,3,75,5,0,82,3,0,54,2,0,78,7,20,0
